Date,Team 1,Team 2,Match Type,Venue,GMT Time,Local Time,Status,Commentary Link,Year
"Apr 09, Fri",MUMBAI INDIANS,ROYAL CHALLENGERS BENGALURU,1st Match,"MA Chidambaram Stadium, Chennai",,02:00 PM,Royal Challengers Bangalore won by 2 wkts,https://www.cricbuzz.com/cricket-scores/35612/mi-vs-rcb-1st-match-indian-premier-league-2021,2021
"Apr 10, Sat",CHENNAI SUPER KINGS,DELHI CAPITALS,2nd Match,"Wankhede Stadium, Mumbai",,02:00 PM,Delhi Capitals won by 7 wkts,https://www.cricbuzz.com/cricket-scores/35617/csk-vs-dc-2nd-match-indian-premier-league-2021,2021
"Apr 11, Sun",SUNRISERS HYDERABAD,KOLKATA KNIGHT RIDERS,3rd Match,"MA Chidambaram Stadium, Chennai",,02:00 PM,Kolkata Knight Riders won by 10 runs,https://www.cricbuzz.com/cricket-scores/35618/srh-vs-kkr-3rd-match-indian-premier-league-2021,2021
"Apr 12, Mon",RAJASTHAN ROYALS,PUNJAB KINGS,4th Match,"Wankhede Stadium, Mumbai",,02:00 PM,Punjab Kings won by 4 runs,https://www.cricbuzz.com/cricket-scores/35622/rr-vs-pbks-4th-match-indian-premier-league-2021,2021
"Apr 13, Tue",KOLKATA KNIGHT RIDERS,MUMBAI INDIANS,5th Match,"MA Chidambaram Stadium, Chennai",,02:00 PM,Mumbai Indians won by 10 runs,https://www.cricbuzz.com/cricket-scores/35627/kkr-vs-mi-5th-match-indian-premier-league-2021,2021
"Apr 14, Wed",SUNRISERS HYDERABAD,ROYAL CHALLENGERS BENGALURU,6th Match,"MA Chidambaram Stadium, Chennai",,02:00 PM,Royal Challengers Bangalore won by 6 runs,https://www.cricbuzz.com/cricket-scores/35628/srh-vs-rcb-6th-match-indian-premier-league-2021,2021
"Apr 15, Thu",RAJASTHAN ROYALS,DELHI CAPITALS,7th Match,"Wankhede Stadium, Mumbai",,02:00 PM,Rajasthan Royals won by 3 wkts,https://www.cricbuzz.com/cricket-scores/35632/rr-vs-dc-7th-match-indian-premier-league-2021,2021
"Apr 16, Fri",PUNJAB KINGS,CHENNAI SUPER KINGS,8th Match,"Wankhede Stadium, Mumbai",,02:00 PM,Chennai Super Kings won by 6 wkts,https://www.cricbuzz.com/cricket-scores/35637/pbks-vs-csk-8th-match-indian-premier-league-2021,2021
"Apr 17, Sat",MUMBAI INDIANS,SUNRISERS HYDERABAD,9th Match,"MA Chidambaram Stadium, Chennai",,02:00 PM,Mumbai Indians won by 13 runs,https://www.cricbuzz.com/cricket-scores/35642/mi-vs-srh-9th-match-indian-premier-league-2021,2021
"Apr 18, Sun",ROYAL CHALLENGERS BENGALURU,KOLKATA KNIGHT RIDERS,10th Match,"MA Chidambaram Stadium, Chennai",,10:00 AM,Royal Challengers Bangalore won by 38 runs,https://www.cricbuzz.com/cricket-scores/35643/rcb-vs-kkr-10th-match-indian-premier-league-2021,2021
"Apr 18, Sun",DELHI CAPITALS,PUNJAB KINGS,11th Match,"Wankhede Stadium, Mumbai",,02:00 PM,Delhi Capitals won by 6 wkts,https://www.cricbuzz.com/cricket-scores/35647/dc-vs-pbks-11th-match-indian-premier-league-2021,2021
"Apr 19, Mon",CHENNAI SUPER KINGS,RAJASTHAN ROYALS,12th Match,"Wankhede Stadium, Mumbai",,02:00 PM,Chennai Super Kings won by 45 runs,https://www.cricbuzz.com/cricket-scores/35648/csk-vs-rr-12th-match-indian-premier-league-2021,2021
