Date,Team 1,Team 2,Match Type,Venue,GMT Time,Local Time,Status,Commentary Link,Year
"Apr 08, Fri",CHENNAI SUPER KINGS,KOLKATA KNIGHT RIDERS,1st match,"MA Chidambaram Stadium, Chennai",,02:30 PM,Chennai Super Kings won by 2 runs,https://www.cricbuzz.com/cricket-scores/9899/csk-vs-kkr-1st-match-indian-premier-league-2011,2011
"Apr 09, Sat",DECCAN CHARGERS,RAJASTHAN ROYALS,2nd match,"Rajiv Gandhi International Stadium, Hyderabad",,10:30 AM,Rajasthan Royals won by 8 wkts,https://www.cricbuzz.com/cricket-scores/9900/dcg-vs-rr-2nd-match-indian-premier-league-2011,2011
"Apr 09, Sat",KOCHI TUSKERS KERALA,ROYAL CHALLENGERS BENGALURU,3rd match,"Nehru Stadium, Kochi",,02:30 PM,Royal Challengers Bangalore won by 6 wkts,https://www.cricbuzz.com/cricket-scores/9901/ktk-vs-rcb-3rd-match-indian-premier-league-2011,2011
"Apr 10, Sun",DELHI CAPITALS,MUMBAI INDIANS,4th match,"Arun Jaitley Stadium, Delhi",,10:30 AM,Mumbai Indians won by 8 wkts,https://www.cricbuzz.com/cricket-scores/9902/dc-vs-mi-4th-match-indian-premier-league-2011,2011
"Apr 10, Sun",PUNE WARRIORS,PUNJAB KINGS,5th match,"Dr DY Patil Sports Academy, Navi Mumbai",,02:30 PM,Pune Warriors won by 7 wkts,https://www.cricbuzz.com/cricket-scores/9903/pwi-vs-pbks-5th-match-indian-premier-league-2011,2011
"Apr 11, Mon",KOLKATA KNIGHT RIDERS,DECCAN CHARGERS,6th match,"Eden Gardens, Kolkata",,02:30 PM,Kolkata Knight Riders won by 9 runs,https://www.cricbuzz.com/cricket-scores/9904/kkr-vs-dcg-6th-match-indian-premier-league-2011,2011
"Apr 12, Tue",RAJASTHAN ROYALS,DELHI CAPITALS,7th match,"Sawai Mansingh Stadium, Jaipur",,10:30 AM,Rajasthan Royals won by 6 wkts,https://www.cricbuzz.com/cricket-scores/9905/rr-vs-dc-7th-match-indian-premier-league-2011,2011
"Apr 12, Tue",ROYAL CHALLENGERS BENGALURU,MUMBAI INDIANS,8th match,"M.Chinnaswamy Stadium, Bengaluru",,02:30 PM,Mumbai Indians won by 9 wkts,https://www.cricbuzz.com/cricket-scores/9906/rcb-vs-mi-8th-match-indian-premier-league-2011,2011
"Apr 13, Wed",PUNJAB KINGS,CHENNAI SUPER KINGS,9th match,"Punjab Cricket Association IS Bindra Stadium, Mohali",,10:30 AM,Kings XI Punjab won by 6 wkts,https://www.cricbuzz.com/cricket-scores/9908/pbks-vs-csk-9th-match-indian-premier-league-2011,2011
"Apr 13, Wed",PUNE WARRIORS,KOCHI TUSKERS KERALA,10th match,"Dr DY Patil Sports Academy, Navi Mumbai",,02:30 PM,Pune Warriors won by 4 wkts,https://www.cricbuzz.com/cricket-scores/9907/pwi-vs-ktk-10th-match-indian-premier-league-2011,2011
