Date,Team 1,Team 2,Match Type,Venue,GMT Time,Local Time,Status,Commentary Link,Year
"Apr 05, Wed",SUNRISERS HYDERABAD,ROYAL CHALLENGERS BENGALURU,1st Match,"Rajiv Gandhi International Stadium, Hyderabad",,02:30 PM,Sunrisers Hyderabad won by 35 runs,https://www.cricbuzz.com/cricket-scores/18121/srh-vs-rcb-1st-match-indian-premier-league-2017,2017
"Apr 06, Thu",RISING PUNE SUPERGIANT,MUMBAI INDIANS,2nd Match,"Maharashtra Cricket Association Stadium, Pune",,02:30 PM,Rising Pune Supergiant won by 7 wkts,https://www.cricbuzz.com/cricket-scores/18122/rps-vs-mi-2nd-match-indian-premier-league-2017,2017
"Apr 07, Fri",GUJARAT LIONS,KOLKATA KNIGHT RIDERS,3rd Match,"Niranjan Shah Stadium, Rajkot",,02:30 PM,Kolkata Knight Riders won by 10 wkts,https://www.cricbuzz.com/cricket-scores/18123/gl-vs-kkr-3rd-match-indian-premier-league-2017,2017
"Apr 08, Sat",PUNJAB KINGS,RISING PUNE SUPERGIANT,4th Match,"Holkar Cricket Stadium, Indore",,10:30 AM,Kings XI Punjab won by 6 wkts,https://www.cricbuzz.com/cricket-scores/18124/pbks-vs-rps-4th-match-indian-premier-league-2017,2017
"Apr 08, Sat",ROYAL CHALLENGERS BENGALURU,DELHI CAPITALS,5th Match,"M.Chinnaswamy Stadium, Bengaluru",,02:30 PM,Royal Challengers Bangalore won by 15 runs,https://www.cricbuzz.com/cricket-scores/18125/rcb-vs-dc-5th-match-indian-premier-league-2017,2017
"Apr 09, Sun",SUNRISERS HYDERABAD,GUJARAT LIONS,6th Match,"Rajiv Gandhi International Stadium, Hyderabad",,10:30 AM,Sunrisers Hyderabad won by 9 wkts,https://www.cricbuzz.com/cricket-scores/18126/srh-vs-gl-6th-match-indian-premier-league-2017,2017
"Apr 09, Sun",MUMBAI INDIANS,KOLKATA KNIGHT RIDERS,7th Match,"Wankhede Stadium, Mumbai",,02:30 PM,Mumbai Indians won by 4 wkts,https://www.cricbuzz.com/cricket-scores/18127/mi-vs-kkr-7th-match-indian-premier-league-2017,2017
"Apr 10, Mon",PUNJAB KINGS,ROYAL CHALLENGERS BENGALURU,8th Match,"Holkar Cricket Stadium, Indore",,02:30 PM,Kings XI Punjab won by 8 wkts,https://www.cricbuzz.com/cricket-scores/18128/pbks-vs-rcb-8th-match-indian-premier-league-2017,2017
"Apr 11, Tue",RISING PUNE SUPERGIANT,DELHI CAPITALS,9th Match,"Maharashtra Cricket Association Stadium, Pune",,02:30 PM,Delhi Daredevils won by 97 runs,https://www.cricbuzz.com/cricket-scores/18129/rps-vs-dc-9th-match-indian-premier-league-2017,2017
"Apr 12, Wed",MUMBAI INDIANS,SUNRISERS HYDERABAD,10th Match,"Wankhede Stadium, Mumbai",,02:30 PM,Mumbai Indians won by 4 wkts,https://www.cricbuzz.com/cricket-scores/18130/mi-vs-srh-10th-match-indian-premier-league-2017,2017
"Apr 13, Thu",KOLKATA KNIGHT RIDERS,PUNJAB KINGS,11th Match,"Eden Gardens, Kolkata",,02:30 PM,Kolkata Knight Riders won by 8 wkts,https://www.cricbuzz.com/cricket-scores/18131/kkr-vs-pbks-11th-match-indian-premier-league-2017,2017
"Apr 14, Fri",ROYAL CHALLENGERS BENGALURU,MUMBAI INDIANS,12th Match,"M.Chinnaswamy Stadium, Bengaluru",,10:30 AM,Mumbai Indians won by 4 wkts,https://www.cricbuzz.com/cricket-scores/18132/rcb-vs-mi-12th-match-indian-premier-league-2017,2017
"Apr 14, Fri",GUJARAT LIONS,RISING PUNE SUPERGIANT,13th Match,"Niranjan Shah Stadium, Rajkot",,02:30 PM,Gujarat Lions won by 7 wkts,https://www.cricbuzz.com/cricket-scores/18133/gl-vs-rps-13th-match-indian-premier-league-2017,2017
"Apr 15, Sat",KOLKATA KNIGHT RIDERS,SUNRISERS HYDERABAD,14th Match,"Eden Gardens, Kolkata",,10:30 AM,Kolkata Knight Riders won by 17 runs,https://www.cricbuzz.com/cricket-scores/18134/kkr-vs-srh-14th-match-indian-premier-league-2017,2017
"Apr 15, Sat",DELHI CAPITALS,PUNJAB KINGS,15th Match,"Arun Jaitley Stadium, Delhi",,02:30 PM,Delhi Daredevils won by 51 runs,https://www.cricbuzz.com/cricket-scores/18135/dc-vs-pbks-15th-match-indian-premier-league-2017,2017
"Apr 16, Sun",MUMBAI INDIANS,GUJARAT LIONS,16th Match,"Wankhede Stadium, Mumbai",,10:30 AM,Mumbai Indians won by 6 wkts,https://www.cricbuzz.com/cricket-scores/18136/mi-vs-gl-16th-match-indian-premier-league-2017,2017
"Apr 16, Sun",ROYAL CHALLENGERS BENGALURU,RISING PUNE SUPERGIANT,17th Match,"M.Chinnaswamy Stadium, Bengaluru",,02:30 PM,Rising Pune Supergiant won by 27 runs,https://www.cricbuzz.com/cricket-scores/18137/rcb-vs-rps-17th-match-indian-premier-league-2017,2017
"Apr 17, Mon",DELHI CAPITALS,KOLKATA KNIGHT RIDERS,18th Match,"Arun Jaitley Stadium, Delhi",,10:30 AM,Kolkata Knight Riders won by 4 wkts,https://www.cricbuzz.com/cricket-scores/18138/dc-vs-kkr-18th-match-indian-premier-league-2017,2017
"Apr 17, Mon",SUNRISERS HYDERABAD,PUNJAB KINGS,19th Match,"Rajiv Gandhi International Stadium, Hyderabad",,02:30 PM,Sunrisers Hyderabad won by 5 runs,https://www.cricbuzz.com/cricket-scores/18139/srh-vs-pbks-19th-match-indian-premier-league-2017,2017
"Apr 18, Tue",GUJARAT LIONS,ROYAL CHALLENGERS BENGALURU,20th Match,"Niranjan Shah Stadium, Rajkot",,02:30 PM,Royal Challengers Bangalore won by 21 runs,https://www.cricbuzz.com/cricket-scores/18140/gl-vs-rcb-20th-match-indian-premier-league-2017,2017
