Date,Team 1,Team 2,Match Type,Venue,GMT Time,Local Time,Status,Commentary Link,Year
"Apr 04, Wed",CHENNAI SUPER KINGS,MUMBAI INDIANS,1st Match,"MA Chidambaram Stadium, Chennai",,02:30 PM,Mumbai Indians won by 8 wkts,https://www.cricbuzz.com/cricket-scores/11181/csk-vs-mi-1st-match-indian-premier-league-2012,2012
"Apr 05, Thu",KOLKATA KNIGHT RIDERS,DELHI CAPITALS,2nd Match,"Eden Gardens, Kolkata",,02:30 PM,Delhi Daredevils won by 8 wkts,https://www.cricbuzz.com/cricket-scores/11182/kkr-vs-dc-2nd-match-indian-premier-league-2012,2012
"Apr 06, Fri",MUMBAI INDIANS,PUNE WARRIORS,3rd Match,"Wankhede Stadium, Mumbai",,10:30 AM,Pune Warriors won by 28 runs,https://www.cricbuzz.com/cricket-scores/11183/mi-vs-pwi-3rd-match-indian-premier-league-2012,2012
"Apr 06, Fri",RAJASTHAN ROYALS,PUNJAB KINGS,4th Match,"Sawai Mansingh Stadium, Jaipur",,02:30 PM,Rajasthan Royals won by 31 runs,https://www.cricbuzz.com/cricket-scores/11184/rr-vs-pbks-4th-match-indian-premier-league-2012,2012
"Apr 07, Sat",ROYAL CHALLENGERS BENGALURU,DELHI CAPITALS,5th Match,"M.Chinnaswamy Stadium, Bengaluru",,10:30 AM,Royal Challengers Bangalore won by 20 runs,https://www.cricbuzz.com/cricket-scores/11185/rcb-vs-dc-5th-match-indian-premier-league-2012,2012
"Apr 07, Sat",DECCAN CHARGERS,CHENNAI SUPER KINGS,6th Match,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",,02:30 PM,Chennai Super Kings won by 74 runs,https://www.cricbuzz.com/cricket-scores/11186/dcg-vs-csk-6th-match-indian-premier-league-2012,2012
"Apr 08, Sun",RAJASTHAN ROYALS,KOLKATA KNIGHT RIDERS,7th Match,"Sawai Mansingh Stadium, Jaipur",,10:30 AM,Rajasthan Royals won by 22 runs,https://www.cricbuzz.com/cricket-scores/11187/rr-vs-kkr-7th-match-indian-premier-league-2012,2012
"Apr 08, Sun",PUNE WARRIORS,PUNJAB KINGS,8th Match,"Maharashtra Cricket Association Stadium, Pune",,02:30 PM,Pune Warriors won by 22 runs,https://www.cricbuzz.com/cricket-scores/11188/pwi-vs-pbks-8th-match-indian-premier-league-2012,2012
"Apr 09, Mon",DECCAN CHARGERS,MUMBAI INDIANS,9th Match,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",,02:30 PM,Mumbai Indians won by 5 wkts,https://www.cricbuzz.com/cricket-scores/11189/dcg-vs-mi-9th-match-indian-premier-league-2012,2012
"Apr 10, Tue",ROYAL CHALLENGERS BENGALURU,KOLKATA KNIGHT RIDERS,10th Match,"M.Chinnaswamy Stadium, Bengaluru",,10:30 AM,Kolkata Knight Riders won by 42 runs,https://www.cricbuzz.com/cricket-scores/11190/rcb-vs-kkr-10th-match-indian-premier-league-2012,2012
"Apr 10, Tue",DELHI CAPITALS,CHENNAI SUPER KINGS,11th Match,"Arun Jaitley Stadium, Delhi",,02:30 PM,Delhi Daredevils won by 8 wkts,https://www.cricbuzz.com/cricket-scores/11191/dc-vs-csk-11th-match-indian-premier-league-2012,2012
"Apr 11, Wed",MUMBAI INDIANS,RAJASTHAN ROYALS,12th Match,"Wankhede Stadium, Mumbai",,02:30 PM,Mumbai Indians won by 27 runs,https://www.cricbuzz.com/cricket-scores/11192/mi-vs-rr-12th-match-indian-premier-league-2012,2012
"Apr 12, Thu",CHENNAI SUPER KINGS,ROYAL CHALLENGERS BENGALURU,13th Match,"MA Chidambaram Stadium, Chennai",,10:30 AM,Chennai Super Kings won by 5 wkts,https://www.cricbuzz.com/cricket-scores/11193/csk-vs-rcb-13th-match-indian-premier-league-2012,2012
"Apr 12, Thu",PUNJAB KINGS,PUNE WARRIORS,14th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali",,02:30 PM,Kings XI Punjab won by 7 wkts,https://www.cricbuzz.com/cricket-scores/11194/pbks-vs-pwi-14th-match-indian-premier-league-2012,2012
"Apr 13, Fri",KOLKATA KNIGHT RIDERS,RAJASTHAN ROYALS,15th Match,"Eden Gardens, Kolkata",,02:30 PM,Kolkata Knight Riders won by 5 wkts,https://www.cricbuzz.com/cricket-scores/11195/kkr-vs-rr-15th-match-indian-premier-league-2012,2012
"Apr 14, Sat",PUNE WARRIORS,CHENNAI SUPER KINGS,16th Match,"Maharashtra Cricket Association Stadium, Pune",,02:30 PM,Pune Warriors won by 7 wkts,https://www.cricbuzz.com/cricket-scores/11197/pwi-vs-csk-16th-match-indian-premier-league-2012,2012
"Apr 15, Sun",KOLKATA KNIGHT RIDERS,PUNJAB KINGS,17th Match,"Eden Gardens, Kolkata",,10:30 AM,Kings XI Punjab won by 2 runs,https://www.cricbuzz.com/cricket-scores/11198/kkr-vs-pbks-17th-match-indian-premier-league-2012,2012
"Apr 15, Sun",ROYAL CHALLENGERS BENGALURU,RAJASTHAN ROYALS,18th Match,"M.Chinnaswamy Stadium, Bengaluru",,02:30 PM,Rajasthan Royals won by 59 runs,https://www.cricbuzz.com/cricket-scores/11199/rcb-vs-rr-18th-match-indian-premier-league-2012,2012
"Apr 16, Mon",MUMBAI INDIANS,DELHI CAPITALS,19th Match,"Wankhede Stadium, Mumbai",,02:30 PM,Delhi Daredevils won by 7 wkts,https://www.cricbuzz.com/cricket-scores/11200/mi-vs-dc-19th-match-indian-premier-league-2012,2012
"Apr 17, Tue",RAJASTHAN ROYALS,DECCAN CHARGERS,20th Match,"Sawai Mansingh Stadium, Jaipur",,10:30 AM,Rajasthan Royals won by 5 wkts,https://www.cricbuzz.com/cricket-scores/11201/rr-vs-dcg-20th-match-indian-premier-league-2012,2012
"Apr 17, Tue",ROYAL CHALLENGERS BENGALURU,PUNE WARRIORS,21st Match,"M.Chinnaswamy Stadium, Bengaluru",,02:30 PM,Royal Challengers Bangalore won by 6 wkts,https://www.cricbuzz.com/cricket-scores/11202/rcb-vs-pwi-21st-match-indian-premier-league-2012,2012
"Apr 18, Wed",PUNJAB KINGS,KOLKATA KNIGHT RIDERS,22nd Match,"Punjab Cricket Association IS Bindra Stadium, Mohali",,02:30 PM,Kolkata Knight Riders won by 8 wkts,https://www.cricbuzz.com/cricket-scores/11203/pbks-vs-kkr-22nd-match-indian-premier-league-2012,2012
