Date,Team 1,Team 2,Match Type,Venue,GMT Time,Local Time,Status,Commentary Link,Year
"Apr 09, Sat",MUMBAI INDIANS,RISING PUNE SUPERGIANT,1st Match,"Wankhede Stadium, Mumbai",,02:30 PM,Rising Pune Supergiants won by 9 wkts,https://www.cricbuzz.com/cricket-scores/16389/mi-vs-rps-1st-match-indian-premier-league-2016,2016
"Apr 10, Sun",KOLKATA KNIGHT RIDERS,DELHI CAPITALS,2nd Match,"Eden Gardens, Kolkata",,02:30 PM,Kolkata Knight Riders won by 9 wkts,https://www.cricbuzz.com/cricket-scores/16390/kkr-vs-dc-2nd-match-indian-premier-league-2016,2016
"Apr 11, Mon",PUNJAB KINGS,GUJARAT LIONS,3rd Match,"Punjab Cricket Association IS Bindra Stadium, Mohali",,02:30 PM,Gujarat Lions won by 5 wkts,https://www.cricbuzz.com/cricket-scores/16391/pbks-vs-gl-3rd-match-indian-premier-league-2016,2016
"Apr 12, Tue",ROYAL CHALLENGERS BENGALURU,SUNRISERS HYDERABAD,4th Match,"M.Chinnaswamy Stadium, Bengaluru",,02:30 PM,Royal Challengers Bangalore won by 45 runs,https://www.cricbuzz.com/cricket-scores/16392/rcb-vs-srh-4th-match-indian-premier-league-2016,2016
"Apr 13, Wed",KOLKATA KNIGHT RIDERS,MUMBAI INDIANS,5th Match,"Eden Gardens, Kolkata",,02:30 PM,Mumbai Indians won by 6 wkts,https://www.cricbuzz.com/cricket-scores/16393/kkr-vs-mi-5th-match-indian-premier-league-2016,2016
"Apr 14, Thu",GUJARAT LIONS,RISING PUNE SUPERGIANT,6th Match,"Niranjan Shah Stadium, Rajkot",,02:30 PM,Gujarat Lions won by 7 wkts,https://www.cricbuzz.com/cricket-scores/16394/gl-vs-rps-6th-match-indian-premier-league-2016,2016
"Apr 15, Fri",DELHI CAPITALS,PUNJAB KINGS,7th Match,"Arun Jaitley Stadium, Delhi",,02:30 PM,Delhi Daredevils won by 8 wkts,https://www.cricbuzz.com/cricket-scores/16395/dc-vs-pbks-7th-match-indian-premier-league-2016,2016
"Apr 16, Sat",SUNRISERS HYDERABAD,KOLKATA KNIGHT RIDERS,8th Match,"Rajiv Gandhi International Stadium, Hyderabad",,10:30 AM,Kolkata Knight Riders won by 8 wkts,https://www.cricbuzz.com/cricket-scores/16396/srh-vs-kkr-8th-match-indian-premier-league-2016,2016
"Apr 16, Sat",MUMBAI INDIANS,GUJARAT LIONS,9th Match,"Wankhede Stadium, Mumbai",,02:30 PM,Gujarat Lions won by 3 wkts,https://www.cricbuzz.com/cricket-scores/16397/mi-vs-gl-9th-match-indian-premier-league-2016,2016
"Apr 17, Sun",PUNJAB KINGS,RISING PUNE SUPERGIANT,10th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali",,10:30 AM,Kings XI Punjab won by 6 wkts,https://www.cricbuzz.com/cricket-scores/16398/pbks-vs-rps-10th-match-indian-premier-league-2016,2016
"Apr 17, Sun",ROYAL CHALLENGERS BENGALURU,DELHI CAPITALS,11th Match,"M.Chinnaswamy Stadium, Bengaluru",,02:30 PM,Delhi Daredevils won by 7 wkts,https://www.cricbuzz.com/cricket-scores/16399/rcb-vs-dc-11th-match-indian-premier-league-2016,2016
"Apr 18, Mon",SUNRISERS HYDERABAD,MUMBAI INDIANS,12th Match,"Rajiv Gandhi International Stadium, Hyderabad",,02:30 PM,Sunrisers Hyderabad won by 7 wkts,https://www.cricbuzz.com/cricket-scores/16400/srh-vs-mi-12th-match-indian-premier-league-2016,2016
"Apr 19, Tue",PUNJAB KINGS,KOLKATA KNIGHT RIDERS,13th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali",,02:30 PM,Kolkata Knight Riders won by 6 wkts,https://www.cricbuzz.com/cricket-scores/16401/pbks-vs-kkr-13th-match-indian-premier-league-2016,2016
"Apr 20, Wed",MUMBAI INDIANS,ROYAL CHALLENGERS BENGALURU,14th Match,"Wankhede Stadium, Mumbai",,02:30 PM,Mumbai Indians won by 6 wkts,https://www.cricbuzz.com/cricket-scores/16402/mi-vs-rcb-14th-match-indian-premier-league-2016,2016
"Apr 21, Thu",GUJARAT LIONS,SUNRISERS HYDERABAD,15th Match,"Niranjan Shah Stadium, Rajkot",,02:30 PM,Sunrisers Hyderabad won by 10 wkts,https://www.cricbuzz.com/cricket-scores/16403/gl-vs-srh-15th-match-indian-premier-league-2016,2016
"Apr 22, Fri",RISING PUNE SUPERGIANT,ROYAL CHALLENGERS BENGALURU,16th Match,"Maharashtra Cricket Association Stadium, Pune",,02:30 PM,Royal Challengers Bangalore won by 13 runs,https://www.cricbuzz.com/cricket-scores/16404/rps-vs-rcb-16th-match-indian-premier-league-2016,2016
"Apr 23, Sat",DELHI CAPITALS,MUMBAI INDIANS,17th Match,"Arun Jaitley Stadium, Delhi",,10:30 AM,Delhi Daredevils won by 10 runs,https://www.cricbuzz.com/cricket-scores/16405/dc-vs-mi-17th-match-indian-premier-league-2016,2016
"Apr 23, Sat",SUNRISERS HYDERABAD,PUNJAB KINGS,18th Match,"Rajiv Gandhi International Stadium, Hyderabad",,02:30 PM,Sunrisers Hyderabad won by 5 wkts,https://www.cricbuzz.com/cricket-scores/16406/srh-vs-pbks-18th-match-indian-premier-league-2016,2016
"Apr 24, Sun",GUJARAT LIONS,ROYAL CHALLENGERS BENGALURU,19th Match,"Niranjan Shah Stadium, Rajkot",,10:30 AM,Gujarat Lions won by 6 wkts,https://www.cricbuzz.com/cricket-scores/16407/gl-vs-rcb-19th-match-indian-premier-league-2016,2016
"Apr 24, Sun",RISING PUNE SUPERGIANT,KOLKATA KNIGHT RIDERS,20th Match,"Maharashtra Cricket Association Stadium, Pune",,02:30 PM,Kolkata Knight Riders won by 2 wkts,https://www.cricbuzz.com/cricket-scores/16408/rps-vs-kkr-20th-match-indian-premier-league-2016,2016
"Apr 25, Mon",PUNJAB KINGS,MUMBAI INDIANS,21st Match,"Punjab Cricket Association IS Bindra Stadium, Mohali",,02:30 PM,Mumbai Indians won by 25 runs,https://www.cricbuzz.com/cricket-scores/16409/pbks-vs-mi-21st-match-indian-premier-league-2016,2016
"Apr 26, Tue",SUNRISERS HYDERABAD,RISING PUNE SUPERGIANT,22nd Match,"Rajiv Gandhi International Stadium, Hyderabad",,02:30 PM,Rising Pune Supergiants won by 34 runs (DLS method),https://www.cricbuzz.com/cricket-scores/16410/srh-vs-rps-22nd-match-indian-premier-league-2016,2016
"Apr 27, Wed",DELHI CAPITALS,GUJARAT LIONS,23rd Match,"Arun Jaitley Stadium, Delhi",,02:30 PM,Gujarat Lions won by 1 run,https://www.cricbuzz.com/cricket-scores/16411/dc-vs-gl-23rd-match-indian-premier-league-2016,2016
"Apr 28, Thu",MUMBAI INDIANS,KOLKATA KNIGHT RIDERS,24th Match,"Wankhede Stadium, Mumbai",,02:30 PM,Mumbai Indians won by 6 wkts,https://www.cricbuzz.com/cricket-scores/16412/mi-vs-kkr-24th-match-indian-premier-league-2016,2016
"Apr 29, Fri",RISING PUNE SUPERGIANT,GUJARAT LIONS,25th Match,"Maharashtra Cricket Association Stadium, Pune",,02:30 PM,Gujarat Lions won by 3 wkts,https://www.cricbuzz.com/cricket-scores/16413/rps-vs-gl-25th-match-indian-premier-league-2016,2016
"Apr 30, Sat",DELHI CAPITALS,KOLKATA KNIGHT RIDERS,26th Match,"Arun Jaitley Stadium, Delhi",,10:30 AM,Delhi Daredevils won by 27 runs,https://www.cricbuzz.com/cricket-scores/16414/dc-vs-kkr-26th-match-indian-premier-league-2016,2016
"Apr 30, Sat",SUNRISERS HYDERABAD,ROYAL CHALLENGERS BENGALURU,27th Match,"Rajiv Gandhi International Stadium, Hyderabad",,02:30 PM,Sunrisers Hyderabad won by 15 runs,https://www.cricbuzz.com/cricket-scores/16415/srh-vs-rcb-27th-match-indian-premier-league-2016,2016
"May 01, Sun",GUJARAT LIONS,PUNJAB KINGS,28th Match,"Niranjan Shah Stadium, Rajkot",,10:30 AM,Kings XI Punjab won by 23 runs,https://www.cricbuzz.com/cricket-scores/16416/gl-vs-pbks-28th-match-indian-premier-league-2016,2016
"May 01, Sun",RISING PUNE SUPERGIANT,MUMBAI INDIANS,29th Match,"Maharashtra Cricket Association Stadium, Pune",,02:30 PM,Mumbai Indians won by 8 wkts,https://www.cricbuzz.com/cricket-scores/16417/rps-vs-mi-29th-match-indian-premier-league-2016,2016
"May 02, Mon",ROYAL CHALLENGERS BENGALURU,KOLKATA KNIGHT RIDERS,30th Match,"M.Chinnaswamy Stadium, Bengaluru",,02:30 PM,Kolkata Knight Riders won by 5 wkts,https://www.cricbuzz.com/cricket-scores/16418/rcb-vs-kkr-30th-match-indian-premier-league-2016,2016
"May 03, Tue",GUJARAT LIONS,DELHI CAPITALS,31st Match,"Niranjan Shah Stadium, Rajkot",,02:30 PM,Delhi Daredevils won by 8 wkts,https://www.cricbuzz.com/cricket-scores/16419/gl-vs-dc-31st-match-indian-premier-league-2016,2016
"May 04, Wed",KOLKATA KNIGHT RIDERS,PUNJAB KINGS,32nd Match,"Eden Gardens, Kolkata",,02:30 PM,Kolkata Knight Riders won by 7 runs,https://www.cricbuzz.com/cricket-scores/16420/kkr-vs-pbks-32nd-match-indian-premier-league-2016,2016
"May 05, Thu",DELHI CAPITALS,RISING PUNE SUPERGIANT,33rd Match,"Arun Jaitley Stadium, Delhi",,02:30 PM,Rising Pune Supergiants won by 7 wkts,https://www.cricbuzz.com/cricket-scores/16421/dc-vs-rps-33rd-match-indian-premier-league-2016,2016
"May 06, Fri",SUNRISERS HYDERABAD,GUJARAT LIONS,34th Match,"Rajiv Gandhi International Stadium, Hyderabad",,02:30 PM,Sunrisers Hyderabad won by 5 wkts,https://www.cricbuzz.com/cricket-scores/16422/srh-vs-gl-34th-match-indian-premier-league-2016,2016
"May 07, Sat",ROYAL CHALLENGERS BENGALURU,RISING PUNE SUPERGIANT,35th Match,"M.Chinnaswamy Stadium, Bengaluru",,10:30 AM,Royal Challengers Bangalore won by 7 wkts,https://www.cricbuzz.com/cricket-scores/16423/rcb-vs-rps-35th-match-indian-premier-league-2016,2016
"May 07, Sat",PUNJAB KINGS,DELHI CAPITALS,36th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali",,02:30 PM,Kings XI Punjab won by 9 runs,https://www.cricbuzz.com/cricket-scores/16424/pbks-vs-dc-36th-match-indian-premier-league-2016,2016
"May 08, Sun",MUMBAI INDIANS,SUNRISERS HYDERABAD,37th Match,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",,10:30 AM,Sunrisers Hyderabad won by 85 runs,https://www.cricbuzz.com/cricket-scores/16425/mi-vs-srh-37th-match-indian-premier-league-2016,2016
"May 08, Sun",KOLKATA KNIGHT RIDERS,GUJARAT LIONS,38th Match,"Eden Gardens, Kolkata",,02:30 PM,Gujarat Lions won by 5 wkts,https://www.cricbuzz.com/cricket-scores/16426/kkr-vs-gl-38th-match-indian-premier-league-2016,2016
"May 09, Mon",PUNJAB KINGS,ROYAL CHALLENGERS BENGALURU,39th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali",,02:30 PM,Royal Challengers Bangalore won by 1 run,https://www.cricbuzz.com/cricket-scores/16427/pbks-vs-rcb-39th-match-indian-premier-league-2016,2016
"May 10, Tue",RISING PUNE SUPERGIANT,SUNRISERS HYDERABAD,40th Match,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",,02:30 PM,Sunrisers Hyderabad won by 4 runs,https://www.cricbuzz.com/cricket-scores/16428/rps-vs-srh-40th-match-indian-premier-league-2016,2016
"May 11, Wed",ROYAL CHALLENGERS BENGALURU,MUMBAI INDIANS,41st Match,"M.Chinnaswamy Stadium, Bengaluru",,02:30 PM,Mumbai Indians won by 6 wkts,https://www.cricbuzz.com/cricket-scores/16429/rcb-vs-mi-41st-match-indian-premier-league-2016,2016
"May 12, Thu",SUNRISERS HYDERABAD,DELHI CAPITALS,42nd Match,"Rajiv Gandhi International Stadium, Hyderabad",,02:30 PM,Delhi Daredevils won by 7 wkts,https://www.cricbuzz.com/cricket-scores/16430/srh-vs-dc-42nd-match-indian-premier-league-2016,2016
"May 13, Fri",MUMBAI INDIANS,PUNJAB KINGS,43rd Match,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",,02:30 PM,Kings XI Punjab won by 7 wkts,https://www.cricbuzz.com/cricket-scores/16431/mi-vs-pbks-43rd-match-indian-premier-league-2016,2016
"May 14, Sat",ROYAL CHALLENGERS BENGALURU,GUJARAT LIONS,44th Match,"M.Chinnaswamy Stadium, Bengaluru",,10:30 AM,Royal Challengers Bangalore won by 144 runs,https://www.cricbuzz.com/cricket-scores/16432/rcb-vs-gl-44th-match-indian-premier-league-2016,2016
"May 14, Sat",KOLKATA KNIGHT RIDERS,RISING PUNE SUPERGIANT,45th Match,"Eden Gardens, Kolkata",,02:30 PM,Kolkata Knight Riders won by 8 wkts (DLS method),https://www.cricbuzz.com/cricket-scores/16433/kkr-vs-rps-45th-match-indian-premier-league-2016,2016
"May 15, Sun",PUNJAB KINGS,SUNRISERS HYDERABAD,46th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali",,10:30 AM,Sunrisers Hyderabad won by 7 wkts,https://www.cricbuzz.com/cricket-scores/16434/pbks-vs-srh-46th-match-indian-premier-league-2016,2016
"May 15, Sun",MUMBAI INDIANS,DELHI CAPITALS,47th Match,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",,02:30 PM,Mumbai Indians won by 80 runs,https://www.cricbuzz.com/cricket-scores/16435/mi-vs-dc-47th-match-indian-premier-league-2016,2016
"May 16, Mon",KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BENGALURU,48th Match,"Eden Gardens, Kolkata",,02:30 PM,Royal Challengers Bangalore won by 9 wkts,https://www.cricbuzz.com/cricket-scores/16436/kkr-vs-rcb-48th-match-indian-premier-league-2016,2016
"May 17, Tue",RISING PUNE SUPERGIANT,DELHI CAPITALS,49th Match,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",,02:30 PM,Rising Pune Supergiants won by 19 runs (DLS method),https://www.cricbuzz.com/cricket-scores/16437/rps-vs-dc-49th-match-indian-premier-league-2016,2016
"May 18, Wed",ROYAL CHALLENGERS BENGALURU,PUNJAB KINGS,50th Match,"M.Chinnaswamy Stadium, Bengaluru",,02:30 PM,Royal Challengers Bangalore won by 82 runs (DLS Method),https://www.cricbuzz.com/cricket-scores/16438/rcb-vs-pbks-50th-match-indian-premier-league-2016,2016
"May 19, Thu",GUJARAT LIONS,KOLKATA KNIGHT RIDERS,51st Match,"Green Park, Kanpur",,02:30 PM,Gujarat Lions won by 6 wkts,https://www.cricbuzz.com/cricket-scores/16439/gl-vs-kkr-51st-match-indian-premier-league-2016,2016
"May 20, Fri",DELHI CAPITALS,SUNRISERS HYDERABAD,52nd Match,"Shaheed Veer Narayan Singh International Stadium, Raipur",,02:30 PM,Delhi Daredevils won by 6 wkts,https://www.cricbuzz.com/cricket-scores/16440/dc-vs-srh-52nd-match-indian-premier-league-2016,2016
"May 21, Sat",RISING PUNE SUPERGIANT,PUNJAB KINGS,53rd Match,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",,10:30 AM,Rising Pune Supergiants won by 4 wkts,https://www.cricbuzz.com/cricket-scores/16441/rps-vs-pbks-53rd-match-indian-premier-league-2016,2016
"May 21, Sat",GUJARAT LIONS,MUMBAI INDIANS,54th Match,"Green Park, Kanpur",,02:30 PM,Gujarat Lions won by 6 wkts,https://www.cricbuzz.com/cricket-scores/16442/gl-vs-mi-54th-match-indian-premier-league-2016,2016
"May 22, Sun",KOLKATA KNIGHT RIDERS,SUNRISERS HYDERABAD,55th Match,"Eden Gardens, Kolkata",,10:30 AM,Kolkata Knight Riders won by 22 runs,https://www.cricbuzz.com/cricket-scores/16443/kkr-vs-srh-55th-match-indian-premier-league-2016,2016
"May 22, Sun",DELHI CAPITALS,ROYAL CHALLENGERS BENGALURU,56th Match,"Shaheed Veer Narayan Singh International Stadium, Raipur",,02:30 PM,Royal Challengers Bangalore won by 6 wkts,https://www.cricbuzz.com/cricket-scores/16444/dc-vs-rcb-56th-match-indian-premier-league-2016,2016
"May 24, Tue",GUJARAT LIONS,ROYAL CHALLENGERS BENGALURU,Qualifier 1,"M.Chinnaswamy Stadium, Bengaluru",,02:30 PM,Royal Challengers Bangalore won by 4 wkts,https://www.cricbuzz.com/cricket-scores/16445/gl-vs-rcb-qualifier-1-indian-premier-league-2016,2016
"May 25, Wed",SUNRISERS HYDERABAD,KOLKATA KNIGHT RIDERS,Eliminator,"Arun Jaitley Stadium, Delhi",,02:30 PM,Sunrisers Hyderabad won by 22 runs,https://www.cricbuzz.com/cricket-scores/16446/srh-vs-kkr-eliminator-indian-premier-league-2016,2016
"May 27, Fri",GUJARAT LIONS,SUNRISERS HYDERABAD,Qualifier 2,"Arun Jaitley Stadium, Delhi",,02:30 PM,Sunrisers Hyderabad won by 4 wkts,https://www.cricbuzz.com/cricket-scores/16447/gl-vs-srh-qualifier-2-indian-premier-league-2016,2016
