Date,Team 1,Team 2,Match Type,Venue,GMT Time,Local Time,Status,Commentary Link,Year
"Mar 22, Fri",CHENNAI SUPER KINGS,ROYAL CHALLENGERS BENGALURU,1st Match,"MA Chidambaram Stadium, Chennai",,02:30 PM,Chennai Super Kings won by 6 wkts,https://www.cricbuzz.com/cricket-scores/89654/csk-vs-rcb-1st-match-indian-premier-league-2024,2024
"Mar 23, Sat",PUNJAB KINGS,DELHI CAPITALS,2nd Match,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",,10:00 AM,Punjab Kings won by 4 wkts,https://www.cricbuzz.com/cricket-scores/89661/pbks-vs-dc-2nd-match-indian-premier-league-2024,2024
"Mar 23, Sat",KOLKATA KNIGHT RIDERS,SUNRISERS HYDERABAD,3rd Match,"Eden Gardens, Kolkata",,02:00 PM,Kolkata Knight Riders won by 4 runs,https://www.cricbuzz.com/cricket-scores/89665/kkr-vs-srh-3rd-match-indian-premier-league-2024,2024
"Mar 24, Sun",RAJASTHAN ROYALS,LUCKNOW SUPER GIANTS,4th Match,"Sawai Mansingh Stadium, Jaipur",,10:00 AM,Rajasthan Royals won by 20 runs,https://www.cricbuzz.com/cricket-scores/89668/rr-vs-lsg-4th-match-indian-premier-league-2024,2024
"Mar 24, Sun",GUJARAT TITANS,MUMBAI INDIANS,5th Match,"Narendra Modi Stadium, Ahmedabad",,02:00 PM,Gujarat Titans won by 6 runs,https://www.cricbuzz.com/cricket-scores/89675/gt-vs-mi-5th-match-indian-premier-league-2024,2024
"Mar 25, Mon",ROYAL CHALLENGERS BENGALURU,PUNJAB KINGS,6th Match,"M.Chinnaswamy Stadium, Bengaluru",,02:00 PM,Royal Challengers Bengaluru won by 4 wkts,https://www.cricbuzz.com/cricket-scores/89682/rcb-vs-pbks-6th-match-indian-premier-league-2024,2024
"Mar 26, Tue",CHENNAI SUPER KINGS,GUJARAT TITANS,7th Match,"MA Chidambaram Stadium, Chennai",,02:00 PM,Chennai Super Kings won by 63 runs,https://www.cricbuzz.com/cricket-scores/89689/csk-vs-gt-7th-match-indian-premier-league-2024,2024
"Mar 27, Wed",SUNRISERS HYDERABAD,MUMBAI INDIANS,8th Match,"Rajiv Gandhi International Stadium, Hyderabad",,02:00 PM,Sunrisers Hyderabad won by 31 runs,https://www.cricbuzz.com/cricket-scores/89693/srh-vs-mi-8th-match-indian-premier-league-2024,2024
"Mar 28, Thu",RAJASTHAN ROYALS,DELHI CAPITALS,9th Match,"Sawai Mansingh Stadium, Jaipur",,02:00 PM,Rajasthan Royals won by 12 runs,https://www.cricbuzz.com/cricket-scores/89700/rr-vs-dc-9th-match-indian-premier-league-2024,2024
"Mar 29, Fri",ROYAL CHALLENGERS BENGALURU,KOLKATA KNIGHT RIDERS,10th Match,"M.Chinnaswamy Stadium, Bengaluru",,02:00 PM,Kolkata Knight Riders won by 7 wkts,https://www.cricbuzz.com/cricket-scores/89703/rcb-vs-kkr-10th-match-indian-premier-league-2024,2024
"Mar 30, Sat",LUCKNOW SUPER GIANTS,PUNJAB KINGS,11th Match,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",,02:00 PM,Lucknow Super Giants won by 21 runs,https://www.cricbuzz.com/cricket-scores/89710/lsg-vs-pbks-11th-match-indian-premier-league-2024,2024
"Mar 31, Sun",GUJARAT TITANS,SUNRISERS HYDERABAD,12th Match,"Narendra Modi Stadium, Ahmedabad",,10:00 AM,Gujarat Titans won by 7 wkts,https://www.cricbuzz.com/cricket-scores/89717/gt-vs-srh-12th-match-indian-premier-league-2024,2024
"Mar 31, Sun",DELHI CAPITALS,CHENNAI SUPER KINGS,13th Match,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",,02:00 PM,Delhi Capitals won by 20 runs,https://www.cricbuzz.com/cricket-scores/89724/dc-vs-csk-13th-match-indian-premier-league-2024,2024
"Apr 01, Mon",MUMBAI INDIANS,RAJASTHAN ROYALS,14th Match,"Wankhede Stadium, Mumbai",,02:00 PM,Rajasthan Royals won by 6 wkts,https://www.cricbuzz.com/cricket-scores/89731/mi-vs-rr-14th-match-indian-premier-league-2024,2024
"Apr 02, Tue",ROYAL CHALLENGERS BENGALURU,LUCKNOW SUPER GIANTS,15th Match,"M.Chinnaswamy Stadium, Bengaluru",,02:00 PM,Lucknow Super Giants won by 28 runs,https://www.cricbuzz.com/cricket-scores/89738/rcb-vs-lsg-15th-match-indian-premier-league-2024,2024
"Apr 03, Wed",DELHI CAPITALS,KOLKATA KNIGHT RIDERS,16th Match,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",,02:00 PM,Kolkata Knight Riders won by 106 runs,https://www.cricbuzz.com/cricket-scores/89745/dc-vs-kkr-16th-match-indian-premier-league-2024,2024
"Apr 04, Thu",GUJARAT TITANS,PUNJAB KINGS,17th Match,"Narendra Modi Stadium, Ahmedabad",,02:00 PM,Punjab Kings won by 3 wkts,https://www.cricbuzz.com/cricket-scores/89749/gt-vs-pbks-17th-match-indian-premier-league-2024,2024
"Apr 05, Fri",SUNRISERS HYDERABAD,CHENNAI SUPER KINGS,18th Match,"Rajiv Gandhi International Stadium, Hyderabad",,02:00 PM,Sunrisers Hyderabad won by 6 wkts,https://www.cricbuzz.com/cricket-scores/89752/srh-vs-csk-18th-match-indian-premier-league-2024,2024
"Apr 06, Sat",RAJASTHAN ROYALS,ROYAL CHALLENGERS BENGALURU,19th Match,"Sawai Mansingh Stadium, Jaipur",,02:00 PM,Rajasthan Royals won by 6 wkts,https://www.cricbuzz.com/cricket-scores/89756/rr-vs-rcb-19th-match-indian-premier-league-2024,2024
"Apr 07, Sun",MUMBAI INDIANS,DELHI CAPITALS,20th Match,"Wankhede Stadium, Mumbai",,10:00 AM,Mumbai Indians won by 29 runs,https://www.cricbuzz.com/cricket-scores/89763/mi-vs-dc-20th-match-indian-premier-league-2024,2024
"Apr 07, Sun",LUCKNOW SUPER GIANTS,GUJARAT TITANS,21st Match,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",,02:00 PM,Lucknow Super Giants won by 33 runs,https://www.cricbuzz.com/cricket-scores/89770/lsg-vs-gt-21st-match-indian-premier-league-2024,2024
