Date,Team 1,Team 2,Match Type,Venue,GMT Time,Local Time,Status,Commentary Link,Year
"Apr 07, Sat",MUMBAI INDIANS,CHENNAI SUPER KINGS,1st Match,"Wankhede Stadium, Mumbai",,02:30 PM,Chennai Super Kings won by 1 wkt,https://www.cricbuzz.com/cricket-scores/20061/mi-vs-csk-1st-match-indian-premier-league-2018,2018
"Apr 08, Sun",PUNJAB KINGS,DELHI CAPITALS,2nd Match,"Punjab Cricket Association IS Bindra Stadium, Mohali",,10:30 AM,Kings XI Punjab won by 6 wkts,https://www.cricbuzz.com/cricket-scores/20062/pbks-vs-dc-2nd-match-indian-premier-league-2018,2018
"Apr 08, Sun",KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BENGALURU,3rd Match,"Eden Gardens, Kolkata",,02:30 PM,Kolkata Knight Riders won by 4 wkts,https://www.cricbuzz.com/cricket-scores/20063/kkr-vs-rcb-3rd-match-indian-premier-league-2018,2018
"Apr 09, Mon",SUNRISERS HYDERABAD,RAJASTHAN ROYALS,4th Match,"Rajiv Gandhi International Stadium, Hyderabad",,02:30 PM,Sunrisers Hyderabad won by 9 wkts,https://www.cricbuzz.com/cricket-scores/20064/srh-vs-rr-4th-match-indian-premier-league-2018,2018
"Apr 10, Tue",CHENNAI SUPER KINGS,KOLKATA KNIGHT RIDERS,5th Match,"MA Chidambaram Stadium, Chennai",,02:30 PM,Chennai Super Kings won by 5 wkts,https://www.cricbuzz.com/cricket-scores/20065/csk-vs-kkr-5th-match-indian-premier-league-2018,2018
"Apr 11, Wed",RAJASTHAN ROYALS,DELHI CAPITALS,6th Match,"Sawai Mansingh Stadium, Jaipur",,02:30 PM,Rajasthan Royals won by 10 runs (DLS method),https://www.cricbuzz.com/cricket-scores/20066/rr-vs-dc-6th-match-indian-premier-league-2018,2018
"Apr 12, Thu",SUNRISERS HYDERABAD,MUMBAI INDIANS,7th Match,"Rajiv Gandhi International Stadium, Hyderabad",,02:30 PM,Sunrisers Hyderabad won by 1 wkt,https://www.cricbuzz.com/cricket-scores/20067/srh-vs-mi-7th-match-indian-premier-league-2018,2018
"Apr 13, Fri",ROYAL CHALLENGERS BENGALURU,PUNJAB KINGS,8th Match,"M.Chinnaswamy Stadium, Bengaluru",,02:30 PM,Royal Challengers Bangalore won by 4 wkts,https://www.cricbuzz.com/cricket-scores/20068/rcb-vs-pbks-8th-match-indian-premier-league-2018,2018
"Apr 14, Sat",MUMBAI INDIANS,DELHI CAPITALS,9th Match,"Wankhede Stadium, Mumbai",,10:30 AM,Delhi Daredevils won by 7 wkts,https://www.cricbuzz.com/cricket-scores/20069/mi-vs-dc-9th-match-indian-premier-league-2018,2018
"Apr 14, Sat",KOLKATA KNIGHT RIDERS,SUNRISERS HYDERABAD,10th Match,"Eden Gardens, Kolkata",,02:30 PM,Sunrisers Hyderabad won by 5 wkts,https://www.cricbuzz.com/cricket-scores/20070/kkr-vs-srh-10th-match-indian-premier-league-2018,2018
"Apr 15, Sun",ROYAL CHALLENGERS BENGALURU,RAJASTHAN ROYALS,11th Match,"M.Chinnaswamy Stadium, Bengaluru",,10:30 AM,Rajasthan Royals won by 19 runs,https://www.cricbuzz.com/cricket-scores/20071/rcb-vs-rr-11th-match-indian-premier-league-2018,2018
"Apr 15, Sun",PUNJAB KINGS,CHENNAI SUPER KINGS,12th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali",,02:30 PM,Kings XI Punjab won by 4 runs,https://www.cricbuzz.com/cricket-scores/20072/pbks-vs-csk-12th-match-indian-premier-league-2018,2018
"Apr 16, Mon",KOLKATA KNIGHT RIDERS,DELHI CAPITALS,13th Match,"Eden Gardens, Kolkata",,02:30 PM,Kolkata Knight Riders won by 71 runs,https://www.cricbuzz.com/cricket-scores/20073/kkr-vs-dc-13th-match-indian-premier-league-2018,2018
"Apr 17, Tue",MUMBAI INDIANS,ROYAL CHALLENGERS BENGALURU,14th Match,"Wankhede Stadium, Mumbai",,02:30 PM,Mumbai Indians won by 46 runs,https://www.cricbuzz.com/cricket-scores/20074/mi-vs-rcb-14th-match-indian-premier-league-2018,2018
"Apr 18, Wed",RAJASTHAN ROYALS,KOLKATA KNIGHT RIDERS,15th Match,"Sawai Mansingh Stadium, Jaipur",,02:30 PM,Kolkata Knight Riders won by 7 wkts,https://www.cricbuzz.com/cricket-scores/20075/rr-vs-kkr-15th-match-indian-premier-league-2018,2018
"Apr 19, Thu",PUNJAB KINGS,SUNRISERS HYDERABAD,16th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali",,02:30 PM,Kings XI Punjab won by 15 runs,https://www.cricbuzz.com/cricket-scores/20076/pbks-vs-srh-16th-match-indian-premier-league-2018,2018
"Apr 20, Fri",CHENNAI SUPER KINGS,RAJASTHAN ROYALS,17th Match,"Maharashtra Cricket Association Stadium, Pune",,02:30 PM,Chennai Super Kings won by 64 runs,https://www.cricbuzz.com/cricket-scores/20077/csk-vs-rr-17th-match-indian-premier-league-2018,2018
"Apr 21, Sat",KOLKATA KNIGHT RIDERS,PUNJAB KINGS,18th Match,"Eden Gardens, Kolkata",,10:30 AM,Kings XI Punjab won by 9 wkts (DLS method),https://www.cricbuzz.com/cricket-scores/20078/kkr-vs-pbks-18th-match-indian-premier-league-2018,2018
"Apr 21, Sat",ROYAL CHALLENGERS BENGALURU,DELHI CAPITALS,19th Match,"M.Chinnaswamy Stadium, Bengaluru",,02:30 PM,Royal Challengers Bangalore won by 6 wkts,https://www.cricbuzz.com/cricket-scores/20079/rcb-vs-dc-19th-match-indian-premier-league-2018,2018
"Apr 22, Sun",SUNRISERS HYDERABAD,CHENNAI SUPER KINGS,20th Match,"Rajiv Gandhi International Stadium, Hyderabad",,10:30 AM,Chennai Super Kings won by 4 runs,https://www.cricbuzz.com/cricket-scores/20080/srh-vs-csk-20th-match-indian-premier-league-2018,2018
"Apr 22, Sun",RAJASTHAN ROYALS,MUMBAI INDIANS,21st Match,"Sawai Mansingh Stadium, Jaipur",,02:30 PM,Rajasthan Royals won by 3 wkts,https://www.cricbuzz.com/cricket-scores/20081/rr-vs-mi-21st-match-indian-premier-league-2018,2018
