Date,Team 1,Team 2,Match Type,Venue,GMT Time,Local Time,Status,Commentary Link,Year
"Apr 18, Fri",ROYAL CHALLENGERS BENGALURU,KOLKATA KNIGHT RIDERS,1st match,"M.Chinnaswamy Stadium, Bengaluru",,02:30 PM,Kolkata Knight Riders won by 140 runs,https://www.cricbuzz.com/cricket-scores/10557/rcb-vs-kkr-1st-match-indian-premier-league-2008,2008
"Apr 19, Sat",PUNJAB KINGS,CHENNAI SUPER KINGS,2nd match,"Punjab Cricket Association IS Bindra Stadium, Mohali",,11:30 AM,Chennai Super Kings won by 33 runs,https://www.cricbuzz.com/cricket-scores/10556/pbks-vs-csk-2nd-match-indian-premier-league-2008,2008
"Apr 19, Sat",DELHI CAPITALS,RAJASTHAN ROYALS,3rd match,"Arun Jaitley Stadium, Delhi",,03:00 PM,Delhi Daredevils won by 9 wickets (with 29 balls remaining),https://www.cricbuzz.com/cricket-scores/10555/dc-vs-rr-3rd-match-indian-premier-league-2008,2008
"Apr 20, Sun",KOLKATA KNIGHT RIDERS,DECCAN CHARGERS,4th match,"Eden Gardens, Kolkata",,10:30 AM,Kolkata Knight Riders won by 5 wickets (with 6 balls remaining),https://www.cricbuzz.com/cricket-scores/10554/kkr-vs-dcg-4th-match-indian-premier-league-2008,2008
"Apr 20, Sun",MUMBAI INDIANS,ROYAL CHALLENGERS BENGALURU,5th match,"Wankhede Stadium, Mumbai",,02:30 PM,Royal Challengers Bangalore won by 5 wickets (with 2 balls remaining),https://www.cricbuzz.com/cricket-scores/10553/mi-vs-rcb-5th-match-indian-premier-league-2008,2008
"Apr 21, Mon",RAJASTHAN ROYALS,PUNJAB KINGS,6th match,"Sawai Mansingh Stadium, Jaipur",,02:30 PM,Rajasthan Royals won by 6 wickets (with 11 balls remaining),https://www.cricbuzz.com/cricket-scores/10552/rr-vs-pbks-6th-match-indian-premier-league-2008,2008
"Apr 22, Tue",DECCAN CHARGERS,DELHI CAPITALS,7th match,"Rajiv Gandhi International Stadium, Hyderabad",,02:30 PM,Delhi Daredevils won by 9 wickets (with 42 balls remaining),https://www.cricbuzz.com/cricket-scores/10551/dcg-vs-dc-7th-match-indian-premier-league-2008,2008
"Apr 23, Wed",CHENNAI SUPER KINGS,MUMBAI INDIANS,8th match,"MA Chidambaram Stadium, Chennai",,02:30 PM,Chennai Super Kings won by 6 runs,https://www.cricbuzz.com/cricket-scores/10550/csk-vs-mi-8th-match-indian-premier-league-2008,2008
"Apr 24, Thu",DECCAN CHARGERS,RAJASTHAN ROYALS,9th match,"Rajiv Gandhi International Stadium, Hyderabad",,02:30 PM,Rajasthan Royals won by 3 wickets (with 1 ball remaining),https://www.cricbuzz.com/cricket-scores/10549/dcg-vs-rr-9th-match-indian-premier-league-2008,2008
"Apr 25, Fri",PUNJAB KINGS,MUMBAI INDIANS,10th match,"Punjab Cricket Association IS Bindra Stadium, Mohali",,02:30 PM,Kings XI Punjab won by 66 runs,https://www.cricbuzz.com/cricket-scores/10548/pbks-vs-mi-10th-match-indian-premier-league-2008,2008
"Apr 26, Sat",CHENNAI SUPER KINGS,KOLKATA KNIGHT RIDERS,11th match,"MA Chidambaram Stadium, Chennai",,10:30 AM,Chennai Super Kings won by 9 wickets (with 18 balls remaining),https://www.cricbuzz.com/cricket-scores/10547/csk-vs-kkr-11th-match-indian-premier-league-2008,2008
"Apr 26, Sat",ROYAL CHALLENGERS BENGALURU,RAJASTHAN ROYALS,12th match,"M.Chinnaswamy Stadium, Bengaluru",,02:30 PM,Rajasthan Royals won by 7 wickets (with 17 balls remaining),https://www.cricbuzz.com/cricket-scores/10546/rcb-vs-rr-12th-match-indian-premier-league-2008,2008
"Apr 27, Sun",PUNJAB KINGS,DELHI CAPITALS,13th match,"Punjab Cricket Association IS Bindra Stadium, Mohali",,10:30 AM,Kings XI Punjab won by 4 wickets (with 3 balls remaining),https://www.cricbuzz.com/cricket-scores/10545/pbks-vs-dc-13th-match-indian-premier-league-2008,2008
"Apr 27, Sun",MUMBAI INDIANS,DECCAN CHARGERS,14th match,"Dr DY Patil Sports Academy, Navi Mumbai",,02:30 PM,Deccan Chargers won by 10 wickets (with 48 balls remaining),https://www.cricbuzz.com/cricket-scores/10543/mi-vs-dcg-14th-match-indian-premier-league-2008,2008
