Date,Team 1,Team 2,Match Type,Venue,GMT Time,Local Time,Status,Commentary Link,Year
"Mar 26, Sat",CHENNAI SUPER KINGS,KOLKATA KNIGHT RIDERS,1st Match,"Wankhede Stadium, Mumbai",,02:00 PM,Kolkata Knight Riders won by 6 wkts,https://www.cricbuzz.com/cricket-scores/45886/csk-vs-kkr-1st-match-indian-premier-league-2022,2022
"Mar 27, Sun",DELHI CAPITALS,MUMBAI INDIANS,2nd Match,"Brabourne Stadium, Mumbai",,10:00 AM,Delhi Capitals won by 4 wkts,https://www.cricbuzz.com/cricket-scores/45891/dc-vs-mi-2nd-match-indian-premier-league-2022,2022
"Mar 27, Sun",PUNJAB KINGS,ROYAL CHALLENGERS BENGALURU,3rd Match,"Dr DY Patil Sports Academy, Navi Mumbai",,02:00 PM,Punjab Kings won by 5 wkts,https://www.cricbuzz.com/cricket-scores/45896/pbks-vs-rcb-3rd-match-indian-premier-league-2022,2022
"Mar 28, Mon",GUJARAT TITANS,LUCKNOW SUPER GIANTS,4th Match,"Wankhede Stadium, Mumbai",,02:00 PM,Gujarat Titans won by 5 wkts,https://www.cricbuzz.com/cricket-scores/45901/gt-vs-lsg-4th-match-indian-premier-league-2022,2022
"Mar 29, Tue",SUNRISERS HYDERABAD,RAJASTHAN ROYALS,5th Match,"Maharashtra Cricket Association Stadium, Pune",,02:00 PM,Rajasthan Royals won by 61 runs,https://www.cricbuzz.com/cricket-scores/45906/srh-vs-rr-5th-match-indian-premier-league-2022,2022
"Mar 30, Wed",ROYAL CHALLENGERS BENGALURU,KOLKATA KNIGHT RIDERS,6th Match,"Dr DY Patil Sports Academy, Navi Mumbai",,02:00 PM,Royal Challengers Bangalore won by 3 wkts,https://www.cricbuzz.com/cricket-scores/45911/rcb-vs-kkr-6th-match-indian-premier-league-2022,2022
"Mar 31, Thu",LUCKNOW SUPER GIANTS,CHENNAI SUPER KINGS,7th Match,"Brabourne Stadium, Mumbai",,02:00 PM,Lucknow Super Giants won by 6 wkts,https://www.cricbuzz.com/cricket-scores/45916/lsg-vs-csk-7th-match-indian-premier-league-2022,2022
"Apr 01, Fri",KOLKATA KNIGHT RIDERS,PUNJAB KINGS,8th Match,"Wankhede Stadium, Mumbai",,02:00 PM,Kolkata Knight Riders won by 6 wkts,https://www.cricbuzz.com/cricket-scores/45921/kkr-vs-pbks-8th-match-indian-premier-league-2022,2022
"Apr 02, Sat",MUMBAI INDIANS,RAJASTHAN ROYALS,9th Match,"Dr DY Patil Sports Academy, Navi Mumbai",,10:00 AM,Rajasthan Royals won by 23 runs,https://www.cricbuzz.com/cricket-scores/45926/mi-vs-rr-9th-match-indian-premier-league-2022,2022
"Apr 02, Sat",GUJARAT TITANS,DELHI CAPITALS,10th Match,"Maharashtra Cricket Association Stadium, Pune",,02:00 PM,Gujarat Titans won by 14 runs,https://www.cricbuzz.com/cricket-scores/45931/gt-vs-dc-10th-match-indian-premier-league-2022,2022
"Apr 03, Sun",CHENNAI SUPER KINGS,PUNJAB KINGS,11th Match,"Brabourne Stadium, Mumbai",,02:00 PM,Punjab Kings won by 54 runs,https://www.cricbuzz.com/cricket-scores/45936/csk-vs-pbks-11th-match-indian-premier-league-2022,2022
"Apr 04, Mon",SUNRISERS HYDERABAD,LUCKNOW SUPER GIANTS,12th Match,"Dr DY Patil Sports Academy, Navi Mumbai",,02:00 PM,Lucknow Super Giants won by 12 runs,https://www.cricbuzz.com/cricket-scores/45941/srh-vs-lsg-12th-match-indian-premier-league-2022,2022
"Apr 05, Tue",RAJASTHAN ROYALS,ROYAL CHALLENGERS BENGALURU,13th Match,"Wankhede Stadium, Mumbai",,02:00 PM,Royal Challengers Bangalore won by 4 wkts,https://www.cricbuzz.com/cricket-scores/45946/rr-vs-rcb-13th-match-indian-premier-league-2022,2022
"Apr 06, Wed",KOLKATA KNIGHT RIDERS,MUMBAI INDIANS,14th Match,"Maharashtra Cricket Association Stadium, Pune",,02:00 PM,Kolkata Knight Riders won by 5 wkts,https://www.cricbuzz.com/cricket-scores/45951/kkr-vs-mi-14th-match-indian-premier-league-2022,2022
"Apr 07, Thu",LUCKNOW SUPER GIANTS,DELHI CAPITALS,15th Match,"Dr DY Patil Sports Academy, Navi Mumbai",,02:00 PM,Lucknow Super Giants won by 6 wkts,https://www.cricbuzz.com/cricket-scores/45956/lsg-vs-dc-15th-match-indian-premier-league-2022,2022
"Apr 08, Fri",PUNJAB KINGS,GUJARAT TITANS,16th Match,"Brabourne Stadium, Mumbai",,02:00 PM,Gujarat Titans won by 6 wkts,https://www.cricbuzz.com/cricket-scores/45961/pbks-vs-gt-16th-match-indian-premier-league-2022,2022
"Apr 09, Sat",CHENNAI SUPER KINGS,SUNRISERS HYDERABAD,17th Match,"Dr DY Patil Sports Academy, Navi Mumbai",,10:00 AM,Sunrisers Hyderabad won by 8 wkts,https://www.cricbuzz.com/cricket-scores/45966/csk-vs-srh-17th-match-indian-premier-league-2022,2022
"Apr 09, Sat",ROYAL CHALLENGERS BENGALURU,MUMBAI INDIANS,18th Match,"Maharashtra Cricket Association Stadium, Pune",,02:00 PM,Royal Challengers Bangalore won by 7 wkts,https://www.cricbuzz.com/cricket-scores/45971/rcb-vs-mi-18th-match-indian-premier-league-2022,2022
"Apr 10, Sun",KOLKATA KNIGHT RIDERS,DELHI CAPITALS,19th Match,"Brabourne Stadium, Mumbai",,10:00 AM,Delhi Capitals won by 44 runs,https://www.cricbuzz.com/cricket-scores/45976/kkr-vs-dc-19th-match-indian-premier-league-2022,2022
"Apr 10, Sun",RAJASTHAN ROYALS,LUCKNOW SUPER GIANTS,20th Match,"Wankhede Stadium, Mumbai",,02:00 PM,Rajasthan Royals won by 3 runs,https://www.cricbuzz.com/cricket-scores/45981/rr-vs-lsg-20th-match-indian-premier-league-2022,2022
"Apr 11, Mon",SUNRISERS HYDERABAD,GUJARAT TITANS,21st Match,"Dr DY Patil Sports Academy, Navi Mumbai",,02:00 PM,Sunrisers Hyderabad won by 8 wkts,https://www.cricbuzz.com/cricket-scores/45986/srh-vs-gt-21st-match-indian-premier-league-2022,2022
"Apr 12, Tue",CHENNAI SUPER KINGS,ROYAL CHALLENGERS BENGALURU,22nd Match,"Dr DY Patil Sports Academy, Navi Mumbai",,02:00 PM,Chennai Super Kings won by 23 runs,https://www.cricbuzz.com/cricket-scores/45991/csk-vs-rcb-22nd-match-indian-premier-league-2022,2022
"Apr 13, Wed",MUMBAI INDIANS,PUNJAB KINGS,23rd Match,"Maharashtra Cricket Association Stadium, Pune",,02:00 PM,Punjab Kings won by 12 runs,https://www.cricbuzz.com/cricket-scores/45996/mi-vs-pbks-23rd-match-indian-premier-league-2022,2022
"Apr 14, Thu",RAJASTHAN ROYALS,GUJARAT TITANS,24th Match,"Dr DY Patil Sports Academy, Navi Mumbai",,02:00 PM,Gujarat Titans won by 37 runs,https://www.cricbuzz.com/cricket-scores/46001/rr-vs-gt-24th-match-indian-premier-league-2022,2022
"Apr 15, Fri",SUNRISERS HYDERABAD,KOLKATA KNIGHT RIDERS,25th Match,"Brabourne Stadium, Mumbai",,02:00 PM,Sunrisers Hyderabad won by 7 wkts,https://www.cricbuzz.com/cricket-scores/46006/srh-vs-kkr-25th-match-indian-premier-league-2022,2022
"Apr 16, Sat",MUMBAI INDIANS,LUCKNOW SUPER GIANTS,26th Match,"Brabourne Stadium, Mumbai",,10:00 AM,Lucknow Super Giants won by 18 runs,https://www.cricbuzz.com/cricket-scores/46011/mi-vs-lsg-26th-match-indian-premier-league-2022,2022
"Apr 16, Sat",DELHI CAPITALS,ROYAL CHALLENGERS BENGALURU,27th Match,"Wankhede Stadium, Mumbai",,02:00 PM,Royal Challengers Bangalore won by 16 runs,https://www.cricbuzz.com/cricket-scores/46016/dc-vs-rcb-27th-match-indian-premier-league-2022,2022
"Apr 17, Sun",PUNJAB KINGS,SUNRISERS HYDERABAD,28th Match,"Dr DY Patil Sports Academy, Navi Mumbai",,10:00 AM,Sunrisers Hyderabad won by 7 wkts,https://www.cricbuzz.com/cricket-scores/46021/pbks-vs-srh-28th-match-indian-premier-league-2022,2022
"Apr 17, Sun",GUJARAT TITANS,CHENNAI SUPER KINGS,29th Match,"Maharashtra Cricket Association Stadium, Pune",,02:00 PM,Gujarat Titans won by 3 wkts,https://www.cricbuzz.com/cricket-scores/46026/gt-vs-csk-29th-match-indian-premier-league-2022,2022
"Apr 18, Mon",RAJASTHAN ROYALS,KOLKATA KNIGHT RIDERS,30th Match,"Brabourne Stadium, Mumbai",,02:00 PM,Rajasthan Royals won by 7 runs,https://www.cricbuzz.com/cricket-scores/46031/rr-vs-kkr-30th-match-indian-premier-league-2022,2022
"Apr 19, Tue",LUCKNOW SUPER GIANTS,ROYAL CHALLENGERS BENGALURU,31st Match,"Dr DY Patil Sports Academy, Navi Mumbai",,02:00 PM,Royal Challengers Bangalore won by 18 runs,https://www.cricbuzz.com/cricket-scores/46036/lsg-vs-rcb-31st-match-indian-premier-league-2022,2022
"Apr 20, Wed",DELHI CAPITALS,PUNJAB KINGS,32nd Match,"Brabourne Stadium, Mumbai",,02:00 PM,Delhi Capitals won by 9 wkts,https://www.cricbuzz.com/cricket-scores/46041/dc-vs-pbks-32nd-match-indian-premier-league-2022,2022
"Apr 21, Thu",MUMBAI INDIANS,CHENNAI SUPER KINGS,33rd Match,"Dr DY Patil Sports Academy, Navi Mumbai",,02:00 PM,Chennai Super Kings won by 3 wkts,https://www.cricbuzz.com/cricket-scores/46046/mi-vs-csk-33rd-match-indian-premier-league-2022,2022
"Apr 22, Fri",DELHI CAPITALS,RAJASTHAN ROYALS,34th Match,"Wankhede Stadium, Mumbai",,02:00 PM,Rajasthan Royals won by 15 runs,https://www.cricbuzz.com/cricket-scores/46051/dc-vs-rr-34th-match-indian-premier-league-2022,2022
"Apr 23, Sat",KOLKATA KNIGHT RIDERS,GUJARAT TITANS,35th Match,"Dr DY Patil Sports Academy, Navi Mumbai",,10:00 AM,Gujarat Titans won by 8 runs,https://www.cricbuzz.com/cricket-scores/46056/kkr-vs-gt-35th-match-indian-premier-league-2022,2022
"Apr 23, Sat",ROYAL CHALLENGERS BENGALURU,SUNRISERS HYDERABAD,36th Match,"Brabourne Stadium, Mumbai",,02:00 PM,Sunrisers Hyderabad won by 9 wkts,https://www.cricbuzz.com/cricket-scores/46061/rcb-vs-srh-36th-match-indian-premier-league-2022,2022
"Apr 24, Sun",LUCKNOW SUPER GIANTS,MUMBAI INDIANS,37th Match,"Wankhede Stadium, Mumbai",,02:00 PM,Lucknow Super Giants won by 36 runs,https://www.cricbuzz.com/cricket-scores/46066/lsg-vs-mi-37th-match-indian-premier-league-2022,2022
"Apr 25, Mon",PUNJAB KINGS,CHENNAI SUPER KINGS,38th Match,"Wankhede Stadium, Mumbai",,02:00 PM,Punjab Kings won by 11 runs,https://www.cricbuzz.com/cricket-scores/46071/pbks-vs-csk-38th-match-indian-premier-league-2022,2022
"Apr 26, Tue",ROYAL CHALLENGERS BENGALURU,RAJASTHAN ROYALS,39th Match,"Maharashtra Cricket Association Stadium, Pune",,02:00 PM,Rajasthan Royals won by 29 runs,https://www.cricbuzz.com/cricket-scores/46076/rcb-vs-rr-39th-match-indian-premier-league-2022,2022
"Apr 27, Wed",GUJARAT TITANS,SUNRISERS HYDERABAD,40th Match,"Wankhede Stadium, Mumbai",,02:00 PM,Gujarat Titans won by 5 wkts,https://www.cricbuzz.com/cricket-scores/46081/gt-vs-srh-40th-match-indian-premier-league-2022,2022
"Apr 28, Thu",DELHI CAPITALS,KOLKATA KNIGHT RIDERS,41st Match,"Wankhede Stadium, Mumbai",,02:00 PM,Delhi Capitals won by 4 wkts,https://www.cricbuzz.com/cricket-scores/46086/dc-vs-kkr-41st-match-indian-premier-league-2022,2022
"Apr 29, Fri",PUNJAB KINGS,LUCKNOW SUPER GIANTS,42nd Match,"Maharashtra Cricket Association Stadium, Pune",,02:00 PM,Lucknow Super Giants won by 20 runs,https://www.cricbuzz.com/cricket-scores/46091/pbks-vs-lsg-42nd-match-indian-premier-league-2022,2022
