Date,Team 1,Team 2,Match Type,Venue,GMT Time,Local Time,Status,Commentary Link,Year
"Sep 19, Sat",MUMBAI INDIANS,CHENNAI SUPER KINGS,1st Match,"Sheikh Zayed Stadium, Abu Dhabi",,02:00 PM,Chennai Super Kings won by 5 wkts,https://www.cricbuzz.com/cricket-scores/30330/mi-vs-csk-1st-match-indian-premier-league-2020,2020
"Sep 20, Sun",DELHI CAPITALS,PUNJAB KINGS,2nd Match,"Dubai International Cricket Stadium, Dubai",,02:00 PM,Match tied (Delhi Capitals won the Super Over),https://www.cricbuzz.com/cricket-scores/30340/dc-vs-pbks-2nd-match-indian-premier-league-2020,2020
"Sep 21, Mon",SUNRISERS HYDERABAD,ROYAL CHALLENGERS BENGALURU,3rd Match,"Dubai International Cricket Stadium, Dubai",,02:00 PM,Royal Challengers Bangalore won by 10 runs,https://www.cricbuzz.com/cricket-scores/30345/srh-vs-rcb-3rd-match-indian-premier-league-2020,2020
"Sep 22, Tue",RAJASTHAN ROYALS,CHENNAI SUPER KINGS,4th Match,"Sharjah Cricket Stadium, Sharjah",,02:00 PM,Rajasthan Royals won by 16 runs,https://www.cricbuzz.com/cricket-scores/30350/rr-vs-csk-4th-match-indian-premier-league-2020,2020
"Sep 23, Wed",KOLKATA KNIGHT RIDERS,MUMBAI INDIANS,5th Match,"Sheikh Zayed Stadium, Abu Dhabi",,02:00 PM,Mumbai Indians won by 49 runs,https://www.cricbuzz.com/cricket-scores/30354/kkr-vs-mi-5th-match-indian-premier-league-2020,2020
"Sep 24, Thu",PUNJAB KINGS,ROYAL CHALLENGERS BENGALURU,6th Match,"Dubai International Cricket Stadium, Dubai",,02:00 PM,Kings XI Punjab won by 97 runs,https://www.cricbuzz.com/cricket-scores/30355/pbks-vs-rcb-6th-match-indian-premier-league-2020,2020
"Sep 25, Fri",CHENNAI SUPER KINGS,DELHI CAPITALS,7th Match,"Dubai International Cricket Stadium, Dubai",,02:00 PM,Delhi Capitals won by 44 runs,https://www.cricbuzz.com/cricket-scores/30360/csk-vs-dc-7th-match-indian-premier-league-2020,2020
"Sep 26, Sat",KOLKATA KNIGHT RIDERS,SUNRISERS HYDERABAD,8th Match,"Sheikh Zayed Stadium, Abu Dhabi",,02:00 PM,Kolkata Knight Riders won by 7 wkts,https://www.cricbuzz.com/cricket-scores/30365/kkr-vs-srh-8th-match-indian-premier-league-2020,2020
"Sep 27, Sun",RAJASTHAN ROYALS,PUNJAB KINGS,9th Match,"Sharjah Cricket Stadium, Sharjah",,02:00 PM,Rajasthan Royals won by 4 wkts,https://www.cricbuzz.com/cricket-scores/30369/rr-vs-pbks-9th-match-indian-premier-league-2020,2020
"Sep 28, Mon",ROYAL CHALLENGERS BENGALURU,MUMBAI INDIANS,10th Match,"Dubai International Cricket Stadium, Dubai",,02:00 PM,Match tied (Royal Challengers Bangalore won the Super Over),https://www.cricbuzz.com/cricket-scores/30370/rcb-vs-mi-10th-match-indian-premier-league-2020,2020
"Sep 29, Tue",DELHI CAPITALS,SUNRISERS HYDERABAD,11th Match,"Sheikh Zayed Stadium, Abu Dhabi",,02:00 PM,Sunrisers Hyderabad won by 15 runs,https://www.cricbuzz.com/cricket-scores/30375/dc-vs-srh-11th-match-indian-premier-league-2020,2020
"Sep 30, Wed",RAJASTHAN ROYALS,KOLKATA KNIGHT RIDERS,12th Match,"Dubai International Cricket Stadium, Dubai",,02:00 PM,Kolkata Knight Riders won by 37 runs,https://www.cricbuzz.com/cricket-scores/30380/rr-vs-kkr-12th-match-indian-premier-league-2020,2020
"Oct 01, Thu",PUNJAB KINGS,MUMBAI INDIANS,13th Match,"Sheikh Zayed Stadium, Abu Dhabi",,02:00 PM,Mumbai Indians won by 48 runs,https://www.cricbuzz.com/cricket-scores/30384/pbks-vs-mi-13th-match-indian-premier-league-2020,2020
"Oct 02, Fri",CHENNAI SUPER KINGS,SUNRISERS HYDERABAD,14th Match,"Dubai International Cricket Stadium, Dubai",,02:00 PM,Sunrisers Hyderabad won by 7 runs,https://www.cricbuzz.com/cricket-scores/30385/csk-vs-srh-14th-match-indian-premier-league-2020,2020
