Date,Team 1,Team 2,Match Type,Venue,GMT Time,Local Time,Status,Commentary Link,Year
"Apr 08, Wed",KOLKATA KNIGHT RIDERS,MUMBAI INDIANS,1st Match,"Eden Gardens, Kolkata",,02:30 PM,Kolkata Knight Riders won by 7 wkts,https://www.cricbuzz.com/cricket-scores/14594/kkr-vs-mi-1st-match-indian-premier-league-2015,2015
"Apr 09, Thu",CHENNAI SUPER KINGS,DELHI CAPITALS,2nd Match,"MA Chidambaram Stadium, Chennai",,02:30 PM,Chennai Super Kings won by 1 run,https://www.cricbuzz.com/cricket-scores/14595/csk-vs-dc-2nd-match-indian-premier-league-2015,2015
"Apr 10, Fri",PUNJAB KINGS,RAJASTHAN ROYALS,3rd Match,"Maharashtra Cricket Association Stadium, Pune",,02:30 PM,Rajasthan Royals won by 26 runs,https://www.cricbuzz.com/cricket-scores/14596/pbks-vs-rr-3rd-match-indian-premier-league-2015,2015
"Apr 11, Sat",CHENNAI SUPER KINGS,SUNRISERS HYDERABAD,4th Match,"MA Chidambaram Stadium, Chennai",,10:30 AM,Chennai Super Kings won by 45 runs,https://www.cricbuzz.com/cricket-scores/14597/csk-vs-srh-4th-match-indian-premier-league-2015,2015
"Apr 11, Sat",KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BENGALURU,5th Match,"Eden Gardens, Kolkata",,02:30 PM,Royal Challengers Bangalore won by 3 wkts,https://www.cricbuzz.com/cricket-scores/14598/kkr-vs-rcb-5th-match-indian-premier-league-2015,2015
"Apr 12, Sun",DELHI CAPITALS,RAJASTHAN ROYALS,6th Match,"Arun Jaitley Stadium, Delhi",,10:30 AM,Rajasthan Royals won by 3 wkts,https://www.cricbuzz.com/cricket-scores/14599/dc-vs-rr-6th-match-indian-premier-league-2015,2015
"Apr 12, Sun",MUMBAI INDIANS,PUNJAB KINGS,7th Match,"Wankhede Stadium, Mumbai",,02:30 PM,Kings XI Punjab won by 18 runs,https://www.cricbuzz.com/cricket-scores/14600/mi-vs-pbks-7th-match-indian-premier-league-2015,2015
"Apr 13, Mon",ROYAL CHALLENGERS BENGALURU,SUNRISERS HYDERABAD,8th Match,"M.Chinnaswamy Stadium, Bengaluru",,02:30 PM,Sunrisers Hyderabad won by 8 wkts,https://www.cricbuzz.com/cricket-scores/14601/rcb-vs-srh-8th-match-indian-premier-league-2015,2015
"Apr 14, Tue",RAJASTHAN ROYALS,MUMBAI INDIANS,9th Match,"Narendra Modi Stadium, Ahmedabad",,02:30 PM,Rajasthan Royals won by 7 wkts,https://www.cricbuzz.com/cricket-scores/14602/rr-vs-mi-9th-match-indian-premier-league-2015,2015
"Apr 15, Wed",PUNJAB KINGS,DELHI CAPITALS,10th Match,"Maharashtra Cricket Association Stadium, Pune",,02:30 PM,Delhi Daredevils won by 5 wkts,https://www.cricbuzz.com/cricket-scores/14604/pbks-vs-dc-10th-match-indian-premier-league-2015,2015
"Apr 16, Thu",SUNRISERS HYDERABAD,RAJASTHAN ROYALS,11th Match,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",,02:30 PM,Rajasthan Royals won by 6 wkts,https://www.cricbuzz.com/cricket-scores/14605/srh-vs-rr-11th-match-indian-premier-league-2015,2015
"Apr 17, Fri",MUMBAI INDIANS,CHENNAI SUPER KINGS,12th Match,"Wankhede Stadium, Mumbai",,02:30 PM,Chennai Super Kings won by 6 wkts,https://www.cricbuzz.com/cricket-scores/14606/mi-vs-csk-12th-match-indian-premier-league-2015,2015
"Apr 18, Sat",SUNRISERS HYDERABAD,DELHI CAPITALS,13th Match,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",,10:30 AM,Delhi Daredevils won by 4 runs,https://www.cricbuzz.com/cricket-scores/14607/srh-vs-dc-13th-match-indian-premier-league-2015,2015
"Apr 18, Sat",PUNJAB KINGS,KOLKATA KNIGHT RIDERS,14th Match,"Maharashtra Cricket Association Stadium, Pune",,02:30 PM,Kolkata Knight Riders won by 4 wkts,https://www.cricbuzz.com/cricket-scores/14608/pbks-vs-kkr-14th-match-indian-premier-league-2015,2015
"Apr 19, Sun",RAJASTHAN ROYALS,CHENNAI SUPER KINGS,15th Match,"Narendra Modi Stadium, Ahmedabad",,10:30 AM,Rajasthan Royals won by 8 wkts,https://www.cricbuzz.com/cricket-scores/14609/rr-vs-csk-15th-match-indian-premier-league-2015,2015
"Apr 19, Sun",ROYAL CHALLENGERS BENGALURU,MUMBAI INDIANS,16th Match,"M.Chinnaswamy Stadium, Bengaluru",,02:30 PM,Mumbai Indians won by 18 runs,https://www.cricbuzz.com/cricket-scores/14610/rcb-vs-mi-16th-match-indian-premier-league-2015,2015
"Apr 20, Mon",DELHI CAPITALS,KOLKATA KNIGHT RIDERS,17th Match,"Arun Jaitley Stadium, Delhi",,02:30 PM,Kolkata Knight Riders won by 6 wkts,https://www.cricbuzz.com/cricket-scores/14611/dc-vs-kkr-17th-match-indian-premier-league-2015,2015
"Apr 21, Tue",RAJASTHAN ROYALS,PUNJAB KINGS,18th Match,"Narendra Modi Stadium, Ahmedabad",,02:30 PM,Match tied (Kings XI Punjab won the one-over eliminator),https://www.cricbuzz.com/cricket-scores/14612/rr-vs-pbks-18th-match-indian-premier-league-2015,2015
"Apr 22, Wed",SUNRISERS HYDERABAD,KOLKATA KNIGHT RIDERS,19th Match,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",,10:30 AM,Sunrisers Hyderabad won by 16 runs (D/L method),https://www.cricbuzz.com/cricket-scores/14613/srh-vs-kkr-19th-match-indian-premier-league-2015,2015
"Apr 22, Wed",ROYAL CHALLENGERS BENGALURU,CHENNAI SUPER KINGS,20th Match,"M.Chinnaswamy Stadium, Bengaluru",,02:30 PM,Chennai Super Kings won by 27 runs,https://www.cricbuzz.com/cricket-scores/14614/rcb-vs-csk-20th-match-indian-premier-league-2015,2015
"Apr 23, Thu",DELHI CAPITALS,MUMBAI INDIANS,21st Match,"Arun Jaitley Stadium, Delhi",,02:30 PM,Delhi Daredevils won by 37 runs,https://www.cricbuzz.com/cricket-scores/14615/dc-vs-mi-21st-match-indian-premier-league-2015,2015
"Apr 24, Fri",RAJASTHAN ROYALS,ROYAL CHALLENGERS BENGALURU,22nd Match,"Narendra Modi Stadium, Ahmedabad",,02:30 PM,Royal Challengers Bangalore won by 9 wkts,https://www.cricbuzz.com/cricket-scores/14616/rr-vs-rcb-22nd-match-indian-premier-league-2015,2015
"Apr 25, Sat",MUMBAI INDIANS,SUNRISERS HYDERABAD,23rd Match,"Wankhede Stadium, Mumbai",,10:30 AM,Mumbai Indians won by 20 runs,https://www.cricbuzz.com/cricket-scores/14617/mi-vs-srh-23rd-match-indian-premier-league-2015,2015
"Apr 25, Sat",CHENNAI SUPER KINGS,PUNJAB KINGS,24th Match,"MA Chidambaram Stadium, Chennai",,02:30 PM,Chennai Super Kings won by 97 runs,https://www.cricbuzz.com/cricket-scores/14618/csk-vs-pbks-24th-match-indian-premier-league-2015,2015
"Apr 26, Sun",KOLKATA KNIGHT RIDERS,RAJASTHAN ROYALS,25th Match,"Eden Gardens, Kolkata",,10:30 AM,Match abandoned without a ball being bowled,https://www.cricbuzz.com/cricket-scores/14619/kkr-vs-rr-25th-match-indian-premier-league-2015,2015
"Apr 26, Sun",DELHI CAPITALS,ROYAL CHALLENGERS BENGALURU,26th Match,"Arun Jaitley Stadium, Delhi",,02:30 PM,Royal Challengers Bangalore won by 10 wkts,https://www.cricbuzz.com/cricket-scores/14620/dc-vs-rcb-26th-match-indian-premier-league-2015,2015
"Apr 27, Mon",PUNJAB KINGS,SUNRISERS HYDERABAD,27th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali",,02:30 PM,Sunrisers Hyderabad won by 20 runs,https://www.cricbuzz.com/cricket-scores/14621/pbks-vs-srh-27th-match-indian-premier-league-2015,2015
"Apr 28, Tue",CHENNAI SUPER KINGS,KOLKATA KNIGHT RIDERS,28th Match,"MA Chidambaram Stadium, Chennai",,02:30 PM,Chennai Super Kings won by 2 runs,https://www.cricbuzz.com/cricket-scores/14624/csk-vs-kkr-28th-match-indian-premier-league-2015,2015
"Apr 29, Wed",ROYAL CHALLENGERS BENGALURU,RAJASTHAN ROYALS,29th Match,"M.Chinnaswamy Stadium, Bengaluru",,02:30 PM,No result,https://www.cricbuzz.com/cricket-scores/14623/rcb-vs-rr-29th-match-indian-premier-league-2015,2015
"Apr 30, Thu",KOLKATA KNIGHT RIDERS,CHENNAI SUPER KINGS,30th Match,"Eden Gardens, Kolkata",,02:30 PM,Kolkata Knight Riders won by 7 wkts,https://www.cricbuzz.com/cricket-scores/14603/kkr-vs-csk-30th-match-indian-premier-league-2015,2015
"May 01, Fri",DELHI CAPITALS,PUNJAB KINGS,31st Match,"Arun Jaitley Stadium, Delhi",,10:30 AM,Delhi Daredevils won by 9 wkts,https://www.cricbuzz.com/cricket-scores/14625/dc-vs-pbks-31st-match-indian-premier-league-2015,2015
