Date,Team 1,Team 2,Match Type,Venue,GMT Time,Local Time,Status,Commentary Link,Year
"Mar 22, Sat",Kolkata Knight Riders,Royal Challengers Bengaluru,1st Match,"Eden Gardens, Kolkata",,02:00 PM,Royal Challengers Bengaluru won by 7 wkts,https://www.cricbuzz.com/cricket-scores/114960/kkr-vs-rcb-1st-match-indian-premier-league-2025,2025
"Mar 23, Sun",Sunrisers Hyderabad,Rajasthan Royals,2nd Match,"Rajiv Gandhi International Stadium, Hyderabad",,10:00 AM,Sunrisers Hyderabad won by 44 runs,https://www.cricbuzz.com/cricket-scores/114967/srh-vs-rr-2nd-match-indian-premier-league-2025,2025
"Mar 23, Sun",Mumbai Indians,Chennai Super Kings,3rd Match,"MA Chidambaram Stadium, Chennai",,02:00 PM,Chennai Super Kings won by 4 wkts,https://www.cricbuzz.com/cricket-scores/114976/mi-vs-csk-3rd-match-indian-premier-league-2025,2025
"Mar 24, Mon",Lucknow Super Giants,Delhi Capitals,4th Match,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",,02:00 PM,Delhi Capitals won by 1 wkt,https://www.cricbuzz.com/cricket-scores/114985/lsg-vs-dc-4th-match-indian-premier-league-2025,2025
"Mar 25, Tue",Punjab Kings,Gujarat Titans,5th Match,"Narendra Modi Stadium, Ahmedabad",,02:00 PM,Punjab Kings won by 11 runs,https://www.cricbuzz.com/cricket-scores/114987/pbks-vs-gt-5th-match-indian-premier-league-2025,2025
"Mar 26, Wed",Rajasthan Royals,Kolkata Knight Riders,6th Match,"Barsapara Cricket Stadium, Guwahati",,02:00 PM,Kolkata Knight Riders won by 8 wkts,https://www.cricbuzz.com/cricket-scores/114996/rr-vs-kkr-6th-match-indian-premier-league-2025,2025
"Mar 27, Thu",Sunrisers Hyderabad,Lucknow Super Giants,7th Match,"Rajiv Gandhi International Stadium, Hyderabad",,02:00 PM,Lucknow Super Giants won by 5 wkts,https://www.cricbuzz.com/cricket-scores/115005/srh-vs-lsg-7th-match-indian-premier-league-2025,2025
"Mar 28, Fri",Royal Challengers Bengaluru,Chennai Super Kings,8th Match,"MA Chidambaram Stadium, Chennai",,02:00 PM,Royal Challengers Bengaluru won by 50 runs,https://www.cricbuzz.com/cricket-scores/115012/rcb-vs-csk-8th-match-indian-premier-league-2025,2025
"Mar 29, Sat",Gujarat Titans,Mumbai Indians,9th Match,"Narendra Modi Stadium, Ahmedabad",,02:00 PM,Gujarat Titans won by 36 runs,https://www.cricbuzz.com/cricket-scores/115014/gt-vs-mi-9th-match-indian-premier-league-2025,2025
"Mar 30, Sun",Sunrisers Hyderabad,Delhi Capitals,10th Match,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",,10:00 AM,Delhi Capitals won by 7 wkts,https://www.cricbuzz.com/cricket-scores/115021/srh-vs-dc-10th-match-indian-premier-league-2025,2025
"Mar 30, Sun",Rajasthan Royals,Chennai Super Kings,11th Match,"Barsapara Cricket Stadium, Guwahati",,02:00 PM,Rajasthan Royals won by 6 runs,https://www.cricbuzz.com/cricket-scores/115030/rr-vs-csk-11th-match-indian-premier-league-2025,2025
"Mar 31, Mon",Kolkata Knight Riders,Mumbai Indians,12th Match,"Wankhede Stadium, Mumbai",,02:00 PM,Mumbai Indians won by 8 wkts,https://www.cricbuzz.com/cricket-scores/115032/kkr-vs-mi-12th-match-indian-premier-league-2025,2025
"Apr 01, Tue",Lucknow Super Giants,Punjab Kings,13th Match,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",,02:00 PM,Punjab Kings won by 8 wkts,https://www.cricbuzz.com/cricket-scores/115039/lsg-vs-pbks-13th-match-indian-premier-league-2025,2025
"Apr 02, Wed",Royal Challengers Bengaluru,Gujarat Titans,14th Match,"M.Chinnaswamy Stadium, Bengaluru",,02:00 PM,Gujarat Titans won by 8 wkts,https://www.cricbuzz.com/cricket-scores/115048/rcb-vs-gt-14th-match-indian-premier-league-2025,2025
"Apr 03, Thu",Kolkata Knight Riders,Sunrisers Hyderabad,15th Match,"Eden Gardens, Kolkata",,02:00 PM,Kolkata Knight Riders won by 80 runs,https://www.cricbuzz.com/cricket-scores/115050/kkr-vs-srh-15th-match-indian-premier-league-2025,2025
"Apr 04, Fri",Lucknow Super Giants,Mumbai Indians,16th Match,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",,02:00 PM,Lucknow Super Giants won by 12 runs,https://www.cricbuzz.com/cricket-scores/115059/lsg-vs-mi-16th-match-indian-premier-league-2025,2025
"Apr 05, Sat",Delhi Capitals,Chennai Super Kings,17th Match,"MA Chidambaram Stadium, Chennai",,10:00 AM,Delhi Capitals won by 25 runs,https://www.cricbuzz.com/cricket-scores/115068/dc-vs-csk-17th-match-indian-premier-league-2025,2025
"Apr 05, Sat",Rajasthan Royals,Punjab Kings,18th Match,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",,02:00 PM,Rajasthan Royals won by 50 runs,https://www.cricbuzz.com/cricket-scores/115075/rr-vs-pbks-18th-match-indian-premier-league-2025,2025
"Apr 06, Sun",Sunrisers Hyderabad,Gujarat Titans,19th Match,"Rajiv Gandhi International Stadium, Hyderabad",,02:00 PM,Gujarat Titans won by 7 wkts,https://www.cricbuzz.com/cricket-scores/115093/srh-vs-gt-19th-match-indian-premier-league-2025,2025
"Apr 07, Mon",Royal Challengers Bengaluru,Mumbai Indians,20th Match,"Wankhede Stadium, Mumbai",,02:00 PM,Royal Challengers Bengaluru won by 12 runs,https://www.cricbuzz.com/cricket-scores/115095/rcb-vs-mi-20th-match-indian-premier-league-2025,2025
"Apr 08, Tue",Lucknow Super Giants,Kolkata Knight Riders,21st Match,"Eden Gardens, Kolkata",,10:00 AM,Lucknow Super Giants won by 4 runs,https://www.cricbuzz.com/cricket-scores/115084/lsg-vs-kkr-21st-match-indian-premier-league-2025,2025
"Apr 08, Tue",Punjab Kings,Chennai Super Kings,22nd Match,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",,02:00 PM,Punjab Kings won by 18 runs,https://www.cricbuzz.com/cricket-scores/115102/pbks-vs-csk-22nd-match-indian-premier-league-2025,2025
"Apr 09, Wed",Gujarat Titans,Rajasthan Royals,23rd Match,"Narendra Modi Stadium, Ahmedabad",,02:00 PM,Gujarat Titans won by 58 runs,https://www.cricbuzz.com/cricket-scores/115104/gt-vs-rr-23rd-match-indian-premier-league-2025,2025
"Apr 10, Thu",Royal Challengers Bengaluru,Delhi Capitals,24th Match,"M.Chinnaswamy Stadium, Bengaluru",,02:00 PM,Delhi Capitals won by 6 wkts,https://www.cricbuzz.com/cricket-scores/115111/rcb-vs-dc-24th-match-indian-premier-league-2025,2025
"Apr 11, Fri",Chennai Super Kings,Kolkata Knight Riders,25th Match,"MA Chidambaram Stadium, Chennai",,02:00 PM,Kolkata Knight Riders won by 8 wkts,https://www.cricbuzz.com/cricket-scores/115113/csk-vs-kkr-25th-match-indian-premier-league-2025,2025
"Apr 12, Sat",Gujarat Titans,Lucknow Super Giants,26th Match,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",,10:00 AM,Lucknow Super Giants won by 6 wkts,https://www.cricbuzz.com/cricket-scores/115122/gt-vs-lsg-26th-match-indian-premier-league-2025,2025
"Apr 12, Sat",Punjab Kings,Sunrisers Hyderabad,27th Match,"Rajiv Gandhi International Stadium, Hyderabad",,02:00 PM,Sunrisers Hyderabad won by 8 wkts,https://www.cricbuzz.com/cricket-scores/115129/pbks-vs-srh-27th-match-indian-premier-league-2025,2025
"Apr 13, Sun",Rajasthan Royals,Royal Challengers Bengaluru,28th Match,"Sawai Mansingh Stadium, Jaipur",,10:00 AM,Royal Challengers Bengaluru won by 9 wkts,https://www.cricbuzz.com/cricket-scores/115138/rr-vs-rcb-28th-match-indian-premier-league-2025,2025
"Apr 13, Sun",Mumbai Indians,Delhi Capitals,29th Match,"Arun Jaitley Stadium, Delhi",,02:00 PM,Mumbai Indians won by 12 runs,https://www.cricbuzz.com/cricket-scores/115140/mi-vs-dc-29th-match-indian-premier-league-2025,2025
