Date,Team 1,Team 2,Match Type,Venue,GMT Time,Local Time,Status,Commentary Link,Year
"Mar 31, Fri",GUJARAT TITANS,CHENNAI SUPER KINGS,1st Match,"Narendra Modi Stadium, Ahmedabad",,02:00 PM,Gujarat Titans won by 5 wkts,https://www.cricbuzz.com/cricket-scores/66169/gt-vs-csk-1st-match-indian-premier-league-2023,2023
"Apr 01, Sat",PUNJAB KINGS,KOLKATA KNIGHT RIDERS,2nd Match,"Punjab Cricket Association IS Bindra Stadium, Mohali",,10:00 AM,Punjab Kings won by 7 runs (DLS method),https://www.cricbuzz.com/cricket-scores/66173/pbks-vs-kkr-2nd-match-indian-premier-league-2023,2023
"Apr 01, Sat",LUCKNOW SUPER GIANTS,DELHI CAPITALS,3rd Match,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",,02:00 PM,Lucknow Super Giants won by 50 runs,https://www.cricbuzz.com/cricket-scores/66176/lsg-vs-dc-3rd-match-indian-premier-league-2023,2023
"Apr 02, Sun",SUNRISERS HYDERABAD,RAJASTHAN ROYALS,4th Match,"Rajiv Gandhi International Stadium, Hyderabad",,10:00 AM,Rajasthan Royals won by 72 runs,https://www.cricbuzz.com/cricket-scores/66183/srh-vs-rr-4th-match-indian-premier-league-2023,2023
"Apr 02, Sun",ROYAL CHALLENGERS BENGALURU,MUMBAI INDIANS,5th Match,"M.Chinnaswamy Stadium, Bengaluru",,02:00 PM,Royal Challengers Bangalore won by 8 wkts,https://www.cricbuzz.com/cricket-scores/66190/rcb-vs-mi-5th-match-indian-premier-league-2023,2023
"Apr 03, Mon",CHENNAI SUPER KINGS,LUCKNOW SUPER GIANTS,6th Match,"MA Chidambaram Stadium, Chennai",,02:00 PM,Chennai Super Kings won by 12 runs,https://www.cricbuzz.com/cricket-scores/66197/csk-vs-lsg-6th-match-indian-premier-league-2023,2023
"Apr 04, Tue",DELHI CAPITALS,GUJARAT TITANS,7th Match,"Arun Jaitley Stadium, Delhi",,02:00 PM,Gujarat Titans won by 6 wkts,https://www.cricbuzz.com/cricket-scores/66204/dc-vs-gt-7th-match-indian-premier-league-2023,2023
"Apr 05, Wed",RAJASTHAN ROYALS,PUNJAB KINGS,8th Match,"Barsapara Cricket Stadium, Guwahati",,02:00 PM,Punjab Kings won by 5 runs,https://www.cricbuzz.com/cricket-scores/66208/rr-vs-pbks-8th-match-indian-premier-league-2023,2023
"Apr 06, Thu",KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BENGALURU,9th Match,"Eden Gardens, Kolkata",,02:00 PM,Kolkata Knight Riders won by 81 runs,https://www.cricbuzz.com/cricket-scores/66211/kkr-vs-rcb-9th-match-indian-premier-league-2023,2023
"Apr 07, Fri",LUCKNOW SUPER GIANTS,SUNRISERS HYDERABAD,10th Match,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",,02:00 PM,Lucknow Super Giants won by 5 wkts,https://www.cricbuzz.com/cricket-scores/66215/lsg-vs-srh-10th-match-indian-premier-league-2023,2023
"Apr 08, Sat",RAJASTHAN ROYALS,DELHI CAPITALS,11th Match,"Barsapara Cricket Stadium, Guwahati",,10:00 AM,Rajasthan Royals won by 57 runs,https://www.cricbuzz.com/cricket-scores/66218/rr-vs-dc-11th-match-indian-premier-league-2023,2023
"Apr 08, Sat",MUMBAI INDIANS,CHENNAI SUPER KINGS,12th Match,"Wankhede Stadium, Mumbai",,02:00 PM,Chennai Super Kings won by 7 wkts,https://www.cricbuzz.com/cricket-scores/66225/mi-vs-csk-12th-match-indian-premier-league-2023,2023
"Apr 09, Sun",GUJARAT TITANS,KOLKATA KNIGHT RIDERS,13th Match,"Narendra Modi Stadium, Ahmedabad",,10:00 AM,Kolkata Knight Riders won by 3 wkts,https://www.cricbuzz.com/cricket-scores/66232/gt-vs-kkr-13th-match-indian-premier-league-2023,2023
"Apr 09, Sun",SUNRISERS HYDERABAD,PUNJAB KINGS,14th Match,"Rajiv Gandhi International Stadium, Hyderabad",,02:00 PM,Sunrisers Hyderabad won by 8 wkts,https://www.cricbuzz.com/cricket-scores/66236/srh-vs-pbks-14th-match-indian-premier-league-2023,2023
